"case","categ","Date"
37916,"Total deceased",2021-10-13
37922,"Total deceased",2021-10-14
37931,"Total deceased",2021-10-15
37937,"Total deceased",2021-10-16
37941,"Total deceased",2021-10-17
37953,"Total deceased",2021-10-18
37967,"Total deceased",2021-10-19
37976,"Total deceased",2021-10-20
37984,"Total deceased",2021-10-21
37995,"Total deceased",2021-10-22
38002,"Total deceased",2021-10-23
38007,"Total deceased",2021-10-24
38017,"Total deceased",2021-10-25
38024,"Total deceased",2021-10-26
38037,"Total deceased",2021-10-27
38054,"Total deceased",2021-10-28
38061,"Total deceased",2021-10-29
38071,"Total deceased",2021-10-30
38082,"Total deceased",2021-10-31
38084,"Total deceased",2021-11-01
38089,"Total deceased",2021-11-02
38091,"Total deceased",2021-11-03
38095,"Total deceased",2021-11-04
38102,"Total deceased",2021-11-05
38107,"Total deceased",2021-11-06
38112,"Total deceased",2021-11-07
38118,"Total deceased",2021-11-08
38122,"Total deceased",2021-11-09
38131,"Total deceased",2021-11-10
38138,"Total deceased",2021-11-11
38140,"Total deceased",2021-11-12
38143,"Total deceased",2021-11-13
38145,"Total deceased",2021-11-14
38146,"Total deceased",2021-11-15
38153,"Total deceased",2021-11-16
38161,"Total deceased",2021-11-17
38165,"Total deceased",2021-11-18
38169,"Total deceased",2021-11-19
38174,"Total deceased",2021-11-20
38175,"Total deceased",2021-11-21
38177,"Total deceased",2021-11-22
38182,"Total deceased",2021-11-23
38185,"Total deceased",2021-11-24
38187,"Total deceased",2021-11-25
38193,"Total deceased",2021-11-26
38196,"Total deceased",2021-11-27
38198,"Total deceased",2021-11-28
38203,"Total deceased",2021-11-29
38211,"Total deceased",2021-11-30
38213,"Total deceased",2021-12-01
38089,"Total deceased",2021-12-02
38220,"Total deceased",2021-12-03
38224,"Total deceased",2021-12-04
38230,"Total deceased",2021-12-05
38237,"Total deceased",2021-12-06
38243,"Total deceased",2021-12-07
38249,"Total deceased",2021-12-08
38253,"Total deceased",2021-12-09
38255,"Total deceased",2021-12-10
38257,"Total deceased",2021-12-11
38261,"Total deceased",2021-12-12
38268,"Total deceased",2021-12-13
38275,"Total deceased",2021-12-14
38277,"Total deceased",2021-12-15
38279,"Total deceased",2021-12-16
38282,"Total deceased",2021-12-17
38287,"Total deceased",2021-12-18
38288,"Total deceased",2021-12-19
38290,"Total deceased",2021-12-20
38295,"Total deceased",2021-12-21
38299,"Total deceased",2021-12-22
38301,"Total deceased",2021-12-23
38305,"Total deceased",2021-12-24
38309,"Total deceased",2021-12-25
38312,"Total deceased",2021-12-26
38316,"Total deceased",2021-12-27
38318,"Total deceased",2021-12-28
38324,"Total deceased",2021-12-29
38327,"Total deceased",2021-12-30
38335,"Total deceased",2021-12-31
38340,"Total deceased",2022-01-01
38346,"Total deceased",2022-01-02
38351,"Total deceased",2022-01-03
38355,"Total deceased",2022-01-04
38357,"Total deceased",2022-01-05
38358,"Total deceased",2022-01-06
38362,"Total deceased",2022-01-07
38366,"Total deceased",2022-01-08
38370,"Total deceased",2022-01-09
38374,"Total deceased",2022-01-10
38379,"Total deceased",2022-01-11
38389,"Total deceased",2022-01-12
38397,"Total deceased",2022-01-13
38411,"Total deceased",2022-01-14
38418,"Total deceased",2022-01-15
38431,"Total deceased",2022-01-16
38445,"Total deceased",2022-01-17
38465,"Total deceased",2022-01-18
38486,"Total deceased",2022-01-19
38515,"Total deceased",2022-01-20
38537,"Total deceased",2022-01-21
38563,"Total deceased",2022-01-22
38582,"Total deceased",2022-01-23
38614,"Total deceased",2022-01-24
38666,"Total deceased",2022-01-25
38705,"Total deceased",2022-01-26
38754,"Total deceased",2022-01-27
38804,"Total deceased",2022-01-28
38874,"Total deceased",2022-01-29
38942,"Total deceased",2022-01-30
38998,"Total deceased",2022-01-31
39056,"Total deceased",2022-02-01
39137,"Total deceased",2022-02-02
39197,"Total deceased",2022-02-03
39250,"Total deceased",2022-02-04
39300,"Total deceased",2022-02-05
39347,"Total deceased",2022-02-06
39396,"Total deceased",2022-02-07
39447,"Total deceased",2022-02-08
39495,"Total deceased",2022-02-09
