"","Resp.
Diseases","Kidney
Related
Diseases","Liver
Related
Diseases","Heart
and
Blood
Pressure
Disease","Epilepsy","Diabetes
and
Obesity","Hormone
and
Gland
Diseases","Anaemia
and
Myas-
thenia","Cancer","Sepsis","Pulmonary
and
Lung
Diseases","Brain
Related
Disease","Skin
Diseases","Preg-
nancy
Related
Illness","Infect-
ious
Diseases"
"Bagalkote",0.395,3.557,1.186,43.083,0,45.85,0,0,0.395,0,5.534,0,0,0,0
"Ballari",0.381,5.64,1.372,46.494,0,41.311,0.229,0.076,0.152,0,4.345,0,0,0,0
"Belagavi",0,1.425,0,49.145,0,47.863,0,0,0,0,1.567,0,0,0,0
"Bengaluru Rural",0.239,0.359,0.359,43.541,0,52.871,0.239,0,0,0,2.392,0,0,0,0
"Bengaluru Urban",0.016,4.478,0.859,46.346,0.021,44.692,0.205,0,0.801,0,2.55,0.016,0.005,0,0.011
"Bidar",0,2.752,0,49.235,0,44.037,0,0.306,1.223,0,2.141,0,0,0.306,0
"Chamarajanagara",0,2.236,1.597,44.728,0,46.326,0,0,1.597,0,3.514,0,0,0,0
"Chikkaballapura",1.19,0.714,0,42.381,0,53.333,0,0,0.476,0,1.905,0,0,0,0
"Chikkamagaluru",0.169,0.508,0,45.932,0,51.356,0.169,0.169,0.169,0,1.525,0,0,0,0
"Chitradurga",0,2.174,3.623,36.957,0,50.725,0,0,0.725,0,5.797,0,0,0,0
"Dakshina Kannada",0.086,10.862,2.457,42.112,0,35.819,0.474,0.086,1.853,0,5.991,0.043,0.172,0.043,0
"Davanagere",0,4.762,0,47.81,0,44.381,0.19,0,0.19,0,2.476,0,0.19,0,0
"Dharawada",0.243,6.326,1.156,47.749,0,40.45,0.061,0.061,0.243,0.061,3.589,0,0.061,0,0
"Gadag",0.437,2.62,0,50.655,0,41.921,0,0,0.437,0.437,3.493,0,0,0,0
"Hassan",0.3,6.9,0.7,39.9,0.1,48.7,0,0,0.2,0.2,2.9,0,0,0,0.1
"Haveri",0,2.45,0.144,50.432,0,44.38,0,0,0.72,0,1.873,0,0,0,0
"Kalaburagi",0.44,4.286,1.319,49.341,0.11,36.593,0,0.11,0.989,0.11,6.044,0.22,0.11,0.11,0.22
"Kodagu",0,5.574,0.328,46.23,0.984,38.033,0.656,0,0.984,0,7.213,0,0,0,0
"Kolar",1.036,5.44,0.259,33.938,0,57.513,0,0,0,0,1.813,0,0,0,0
"Koppal",0,3.778,1.259,42.569,0,47.103,0,0,0.504,0,4.786,0,0,0,0
"Mandya",0,3.368,0.421,41.474,0,50.316,0.211,0,0.632,0,3.579,0,0,0,0
"Mysuru",0.205,7.35,0.752,42.769,0.068,44.274,0.376,0,0.513,0,3.556,0,0.137,0,0
"Raichur",0,1.19,0.794,82.937,0,12.302,0.397,0,0.397,0,1.984,0,0,0,0
"Ramanagara",0,2.463,0.493,36.946,0,56.65,0,0,0.985,0,2.463,0,0,0,0
"Shivamogga",0,1.572,0.726,53.446,0,41.838,0.484,0,0,0,1.935,0,0,0,0
"Tumakuru",0.442,3.18,0.618,41.873,0.088,49.293,0.088,0.088,0.353,0,3.887,0,0.088,0,0
"Udupi",0.334,9.365,1.839,41.639,0.167,36.288,0.167,0.167,3.01,0.167,6.522,0,0.334,0,0
"Uttara Kannada",0,4.331,1.274,50.701,0.51,36.943,0,0,1.274,0,4.713,0.255,0,0,0
"Vijayapura",0,1.843,0,52.995,0,38.94,0,0,0.461,0,5.76,0,0,0,0
"Yadgiri",0,0,0,59.375,0,28.125,0,0,0,0,12.5,0,0,0,0
"All Karnataka",0.12,4.815,0.909,45.922,0.042,43.901,0.197,0.022,0.739,0.015,3.239,0.02,0.037,0.007,0.012
