Daily Samples Tested,Daily samples reported as negative,Daily Samples Positive for COVID-19,People in Oberservation,KIA-Passengers,Mangalore-Passengers,Seaport M and K- passengers,Daily samples collected for Testing,Date
189499,,8906,,,,,,08-01-2022
150479,,12000,,,,,,09-01-2022
140452,,11698,,,,,,10-01-2022
195047,,14473,,,,,,11-01-2022
201704,,21390,,,,,,12-01-2022
221205,,25005,,,,,,13-01-2022
218479,,28723,,,,,,14-01-2022
176470,,32793,,,,,,15-01-2022
217998,,34047,,,,,,16-01-2022
185872,,27156,,,,,,17-01-2022
215312,,41457,,,,,,18-01-2022
258290,,40499,,,,,,19-01-2022
249832,,47754,,,,,,20-01-2022
219699,,48049,,,,,,21-01-2022
220459,,42470,,,,,,22-01-2022
140884,,50210,,,,,,23-01-2022
155054,,46426,,,,,,24-01-2022
217230,,41400,,,,,,25-01-2022
186313,,48905,,,,,,26-01-2022
149174,,38083,,,,,,27-01-2022
172062,,31198,,,,,,28-01-2022
172483,,33337,,,,,,29-01-2022
141240,,28264,,,,,,30-01-2022
106799,,24172,,,,,,31-01-2022
163320,,14366,,,,,,01-02-2022
145204,,20505,,,,,,02-02-2022
136777,,16436,,,,,,03-02-2022
132796,,14950,,,,,,04-02-2022
129337,,12009,,,,,,05-02-2022
99254,,8425,,,,,,06-02-2022
88797,,6151,,,,,,07-02-2022
128705,,4452,,,,,,08-02-2022
,,5339,,,,,,09-02-2022
