DISTRICTCODE,Date,TINF,TREC,TDEC
30,27-03-2020,0,0,0
31,27-03-2020,0,0,0
1,28-03-2020,0,0,0
2,28-03-2020,0,0,0
3,28-03-2020,0,0,0
4,28-03-2020,0,0,0
5,28-03-2020,41,5,1
6,28-03-2020,0,0,0
7,28-03-2020,0,0,0
8,28-03-2020,8,0,0
9,28-03-2020,0,0,0
10,28-03-2020,0,0,0
11,28-03-2020,7,0,0
12,28-03-2020,3,0,0
13,28-03-2020,1,0,0
14,28-03-2020,0,0,0
15,28-03-2020,0,0,0
16,28-03-2020,0,0,0
17,28-03-2020,3,0,1
18,28-03-2020,1,0,0
19,28-03-2020,0,0,0
20,28-03-2020,0,0,0
21,28-03-2020,0,0,0
22,28-03-2020,3,0,0
23,28-03-2020,0,0,0
24,28-03-2020,0,0,0
25,28-03-2020,0,0,0
26,28-03-2020,1,0,1
27,28-03-2020,1,0,0
28,28-03-2020,7,0,0
29,28-03-2020,0,0,0
30,28-03-2020,0,0,0
31,28-03-2020,0,0,0
1,29-03-2020,0,0,0
2,29-03-2020,0,0,0
3,29-03-2020,0,0,0
4,29-03-2020,0,0,0
5,29-03-2020,41,5,1
6,29-03-2020,0,0,0
7,29-03-2020,0,0,0
8,29-03-2020,8,0,0
9,29-03-2020,0,0,0
10,29-03-2020,0,0,0
11,29-03-2020,7,0,0
12,29-03-2020,3,0,0
13,29-03-2020,1,0,0
14,29-03-2020,0,0,0
15,29-03-2020,0,0,0
16,29-03-2020,0,0,0
17,29-03-2020,3,0,1
18,29-03-2020,1,0,0
19,29-03-2020,0,0,0
20,29-03-2020,0,0,0
21,29-03-2020,0,0,0
22,29-03-2020,8,0,0
23,29-03-2020,0,0,0
24,29-03-2020,0,0,0
25,29-03-2020,0,0,0
26,29-03-2020,1,0,1
27,29-03-2020,3,0,0
28,29-03-2020,7,0,0
29,29-03-2020,0,0,0
30,29-03-2020,0,0,0
31,29-03-2020,0,0,0
1,30-03-2020,0,0,0
2,30-03-2020,0,0,0
3,30-03-2020,0,0,0
4,30-03-2020,0,0,0
5,30-03-2020,41,6,1
6,30-03-2020,0,0,0
7,30-03-2020,0,0,0
8,30-03-2020,8,0,0
9,30-03-2020,0,0,0
10,30-03-2020,0,0,0
11,30-03-2020,7,0,0
12,30-03-2020,3,0,0
13,30-03-2020,1,0,0
14,30-03-2020,0,0,0
15,30-03-2020,0,0,0
16,30-03-2020,0,0,0
17,30-03-2020,3,0,1
18,30-03-2020,1,0,0
19,30-03-2020,0,0,0
20,30-03-2020,0,0,0
21,30-03-2020,0,0,0
22,30-03-2020,12,0,0
23,30-03-2020,0,0,0
24,30-03-2020,0,0,0
25,30-03-2020,0,0,0
26,30-03-2020,2,0,1
27,30-03-2020,3,0,0
28,30-03-2020,7,0,0
29,30-03-2020,0,0,0
30,30-03-2020,0,0,0
31,30-03-2020,0,0,0
1,31-03-2020,0,0,0
2,31-03-2020,3,0,0
3,31-03-2020,0,0,0
4,31-03-2020,0,0,0
5,31-03-2020,45,7,1
6,31-03-2020,0,0,0
7,31-03-2020,0,0,0
8,31-03-2020,9,0,0
9,31-03-2020,0,0,0
10,31-03-2020,0,0,0
11,31-03-2020,8,0,0
12,31-03-2020,3,0,0
13,31-03-2020,1,0,0
14,31-03-2020,0,0,0
