"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
6,37,2020-04-27,15,9,0,-1,-1,0
6,114,2020-07-13,1061,612,53,42,0,-2
6,124,2020-07-23,1640,1021,69,87,150,-2
6,310,2021-01-25,7379,7177,172,-2,-6,0
