"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
9,178,2020-09-15,6533,4677,104,171,0,-1
9,310,2021-01-25,13917,13742,139,-6,-2,0
