"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
12,23,2020-04-13,3,2,0,-1,0,0
12,310,2021-01-25,22298,21961,264,-14,-8,0
