"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
2,89,2020-06-18,327,92,2,37,-2,0
2,310,2021-01-25,39129,38474,597,-4,-10,0
