"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
20,178,2020-09-15,9326,7431,194,152,0,-1
20,408,2021-05-03,19626,15280,287,585,50,-1
