"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
2,181,2020-12-11,9890,9058,364,36,109,-25
2,187,2020-12-17,10073,9340,343,154,48,-1
