"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
11,145,2020-11-02,9983,9132,112,87,90,-6
11,233,2021-02-09,14421,13931,174,7,0,-1
11,249,2021-03-31,16026,14969,182,934,190,-1
11,271,2021-05-18,38999,34025,426,236,1916,-5
11,310,2021-07-19,40471,39844,560,-1,3,1
