"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
33,4,NA,12,0,1,-3,1,0
33,33,2020-07-01,19,12,1,-3,0,0
33,168,2020-11-27,8065,7070,220,83,103,-3
33,185,2020-12-15,8917,8180,232,-39,15,1
33,233,2021-02-09,11057,10400,302,81,161,-3
33,287,2021-06-14,58739,56089,1166,-439,86,5
33,315,2021-07-27,58601,56770,1206,1,2,-6
33,316,2021-07-28,58602,56772,1200,-279,14,3
