"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
14,23,2020-06-19,327,226,12,33,4,-1
14,233,2021-02-09,13542,12891,367,21,198,-1
