DISTRICTCODE,Date,ICU
14,13-06-2020,0
15,13-06-2020,0
16,13-06-2020,0
17,13-06-2020,1
18,13-06-2020,0
19,13-06-2020,0
20,13-06-2020,0
21,13-06-2020,1
22,13-06-2020,0
23,13-06-2020,0
24,13-06-2020,0
25,13-06-2020,0
26,13-06-2020,0
27,13-06-2020,0
28,13-06-2020,0
29,13-06-2020,0
30,13-06-2020,0
1,14-06-2020,0
2,14-06-2020,0
3,14-06-2020,0
4,14-06-2020,0
5,14-06-2020,6
6,14-06-2020,0
7,14-06-2020,0
8,14-06-2020,0
9,14-06-2020,0
10,14-06-2020,0
11,14-06-2020,0
12,14-06-2020,0
13,14-06-2020,1
14,14-06-2020,0
15,14-06-2020,0
16,14-06-2020,0
17,14-06-2020,8
18,14-06-2020,0
19,14-06-2020,0
20,14-06-2020,0
21,14-06-2020,0
22,14-06-2020,0
23,14-06-2020,0
24,14-06-2020,0
25,14-06-2020,0
26,14-06-2020,0
27,14-06-2020,0
28,14-06-2020,0
29,14-06-2020,1
30,14-06-2020,0
1,15-06-2020,0
2,15-06-2020,5
3,15-06-2020,0
4,15-06-2020,0
5,15-06-2020,17
6,15-06-2020,5
7,15-06-2020,0
8,15-06-2020,0
9,15-06-2020,0
10,15-06-2020,0
11,15-06-2020,2
12,15-06-2020,1
13,15-06-2020,3
14,15-06-2020,0
15,15-06-2020,0
16,15-06-2020,0
17,15-06-2020,18
18,15-06-2020,0
19,15-06-2020,0
20,15-06-2020,0
21,15-06-2020,1
22,15-06-2020,0
23,15-06-2020,0
24,15-06-2020,0
25,15-06-2020,1
26,15-06-2020,0
27,15-06-2020,1
28,15-06-2020,0
29,15-06-2020,2
30,15-06-2020,0
1,16-06-2020,0
2,16-06-2020,5
3,16-06-2020,0
4,16-06-2020,0
5,16-06-2020,35
6,16-06-2020,8
7,16-06-2020,0
8,16-06-2020,0
9,16-06-2020,0
10,16-06-2020,0
11,16-06-2020,2
12,16-06-2020,2
13,16-06-2020,3
14,16-06-2020,0
15,16-06-2020,0
16,16-06-2020,0
17,16-06-2020,9
18,16-06-2020,0
19,16-06-2020,0
20,16-06-2020,0
21,16-06-2020,1
22,16-06-2020,0
23,16-06-2020,0
24,16-06-2020,0
25,16-06-2020,3
26,16-06-2020,0
27,16-06-2020,2
28,16-06-2020,0
29,16-06-2020,2
30,16-06-2020,0
1,17-06-2020,0
2,17-06-2020,6
3,17-06-2020,0
4,17-06-2020,0
5,17-06-2020,36
6,17-06-2020,5
7,17-06-2020,0
8,17-06-2020,0
9,17-06-2020,0
10,17-06-2020,0
11,17-06-2020,2
12,17-06-2020,2
13,17-06-2020,4
14,17-06-2020,0
15,17-06-2020,1
16,17-06-2020,0
17,17-06-2020,9
18,17-06-2020,0
19,17-06-2020,0
