,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Chitradurga ,629,4679,4829,5862,6129,6935,6935,6935,7260,7260,7429,7429,7733,7990,7990,7990,7990,7990,7990,8616,9114,9114,10045,10520,10940,12341,12636,12636,12636,12636,12802,12881,12881,12976,13021,13021,13389,13703,13840,13854,13977,13977,13977,13977,14338,14653,14884,15237,15651,15651,17200,17443,19410,19410,21655,21971,21971,29818,36960,44500,53143,58717,65697,69077,72600,77064,79975,82918,84687,87939,87939,89060,92169,94146,96227,101386,104515,108487,115304,120628,125517,135706,139184,145598,150996
Dakshina Kannada ,657,1365,2099,2745,3934,6015,6015,6015,7588,7588,8507,9975,11479,11479,11479,11479,11479,11479,12923,14691,16117,16117,16612,17293,18956,28382,29422,29620,29620,29620,29845,30122,30816,31424,32360,32843,33245,33876,34693,35756,36172,36172,36172,36172,36573,36796,37170,38167,40041,40388,41680,43151,46412,46795,49332,51063,53582,55051,56214,60457,66659,68844,75905,78491,78895,81436,87384,93998,95056,100706,105614,105879,107936,112788,117155,118733,126117,129767,131009,136719,143674,152615,158400,165879,171705
Davanagere ,526,1278,1591,2915,3244,5520,5520,5520,6073,6073,7015,7675,8435,8435,8435,8435,8435,8435,8689,9142,9498,9545,9784,10159,10483,10690,10988,11012,11012,11012,11104,11203,11353,11620,12089,12270,12644,13089,13628,13884,14205,14205,14205,14205,14770,14929,15286,15555,15888,15919,16513,16957,18508,18713,21268,24131,24485,27266,28153,29932,37311,40414,44480,48472,50017,54853,57787,61281,67340,69919,71113,75964,77104,79044,82627,83438,86517,92454,94140,100607,104690,112673,113204,117364,121392
Dharwada ,438,2152,2326,2804,3090,3610,3610,4354,5053,5093,6088,6463,7147,7455,7455,7455,7455,7455,7766,8712,9969,10308,11372,12229,12559,15798,15990,16127,16127,16127,16239,16394,17020,17455,17904,18008,18241,19023,19410,19596,19729,19729,19729,19729,20441,21021,21616,22290,22996,23305,24922,25686,26506,27885,28737,32511,32864,34254,38195,38615,46619,48462,52464,57929,59743,66940,70642,75659,79191,84159,86695,88564,89067,92461,95789,101347,107524,116403,119307,125792,129183,143163,147879,156041,161844
Gadag ,176,822,852,1289,1331,1824,1824,1863,2027,2027,2110,2186,2563,2701,2701,2701,2701,2701,2782,3611,3942,4071,4978,5896,6626,7896,8056,8448,8448,8448,8928,9580,9840,10081,10135,10135,10187,10270,10394,11818,11846,11846,11846,11846,12066,12228,12381,12613,12750,12750,13787,14741,16298,16312,18156,18927,19985,22722,25541,29907,30782,31932,36105,39060,41547,44506,47562,51485,54339,58079,60864,62714,67484,70968,73406,75993,82363,85519,87557,92519,96254,100360,102214,105757,107985
Hassana ,379,1092,1165,2123,2197,3725,3725,3725,4372,4599,6069,6471,6802,6981,6981,6981,6981,6981,7988,9430,11063,11063,11644,12447,13158,13566,13801,14206,14206,14206,14357,14398,14673,14954,15125,15125,15345,15540,15781,16381,16685,16685,16685,16685,17217,17627,17977,18346,18704,18704,19809,20885,23750,24239,28113,29455,29455,33910,37353,39667,48156,54360,62256,64941,68742,73589,78651,82555,87482,90254,90599,92848,96555,99392,102071,103157,105081,108121,112903,117729,121745,130687,135329,146762,154832
Haveri ,233,1013,1151,1843,1843,2177,2177,2177,2695,2695,3229,3229,3333,3333,3333,3333,3333,3333,3333,4024,4127,4127,4139,4653,4914,6438,6438,6763,6763,6763,6830,6840,6932,6992,7323,7466,7614,7989,8365,8423,8664,8664,8664,8664,8975,9115,9345,9604,9783,9783,10050,10196,10772,10827,11113,11796,11796,13914,15475,20117,20939,24472,28091,29577,32041,35020,38635,41690,44862,46599,47555,49912,51587,52397,56026,60026,65487,68531,71570,74059,76255,85901,87601,90833,93891
Kalaburagi ,417,1592,1612,2778,2801,3901,3901,3901,4817,4817,5525,6104,6658,7313,7313,7313,7313,7313,7947,8924,10645,10941,11383,12138,12876,13920,14216,14226,14226,14226,14521,14857,14964,15245,15319,15319,15577,16151,16452,16772,16912,16912,16912,16912,17298,17669,18386,19019,19450,19450,20493,21172,22501,22501,24173,24374,24712,26198,29166,33274,34730,36681,41186,44144,48552,52318,56621,61982,65054,68774,72348,73611,75251,79199,82697,88050,94371,102652,108526,111843,117276,127518,129163,136830,144010
Kodagu ,291,1545,1604,2258,2348,2473,2473,2473,3364,3364,3876,4108,4216,4241,4241,4241,4241,4241,4241,4285,4321,4321,4321,4630,4929,5269,5462,5462,5462,5462,5534,5546,5647,5742,5827,5827,6013,6213,6336,6450,6589,6589,6589,6589,6891,7115,7247,7418,7600,7600,8235,8407,9756,9756,11099,11152,11152,12863,13134,15609,15846,17519,19389,19972,21070,23012,25500,26307,28138,29547,29760,31536,32960,34601,35427,36228,38100,38718,40768,43606,46466,49151,51280,54277,55715
Kolara ,405,1290,1290,2525,2937,4028,4028,4028,4677,4677,5352,5749,6492,6877,6877,6877,6877,6877,7217,7528,7921,7921,8239,8797,9435,10907,11462,11582,11582,11582,11863,12040,12182,12342,12592,12592,12811,13002,13260,13466,13714,13714,13714,13714,14241,14528,14749,15109,15414,15414,16295,16805,17921,18146,19847,20297,20297,22003,26209,30077,33370,37888,43102,44288,48412,53947,59055,65300,70263,74894,76828,80368,84618,87923,92462,96126,100208,102284,105145,107731,110176,117909,118717,124747,127734
Koppala ,262,1592,2031,2145,2170,2252,2252,2252,3022,3022,3730,3870,4140,4244,4244,4244,4244,4244,4312,5085,5917,6046,6743,7427,8081,8294,8719,8884,8884,8884,9038,9038,9143,9191,9230,9230,9627,10097,10551,10815,10846,10846,10846,10846,11045,11168,11263,11438,11565,11565,11938,12077,12188,12576,12991,13481,13727,15590,19767,28687,40971,45267,52522,55241,57823,62856,65519,70354,74519,78275,79139,81178,84763,86881,88152,90158,93651,98805,101098,110395,117702,122733,125895,129749,135262
Mandya ,520,2053,2149,3622,3786,5182,5182,5182,6004,6004,6750,7211,7718,8200,8200,8200,8200,8200,8369,9191,10086,10086,10393,10896,11160,11861,12312,12402,12402,12402,12626,13036,13194,13194,14437,14497,14929,15392,15717,15746,16353,16353,16353,16353,17244,17555,17871,18143,18481,18481,19611,20099,21228,21991,23986,25933,25940,29669,33226,41563,43208,48342,54834,59114,68153,72811,74942,75943,78522,84726,86730,88288,94523,100027,106167,114860,122597,129004,132357,140106,143864,158223,162133,176334,183271
Mysuru ,838,2992,2992,5477,6141,8225,8225,8225,9674,9674,10797,12035,12984,13416,13416,13416,13416,13416,13903,15714,16964,16994,18139,19034,19973,25466,26032,26801,26801,26801,27436,27783,28512,28710,28995,29450,29903,30650,31856,32413,32858,32858,32858,32858,34223,35477,35815,38239,39688,39688,40989,42836,45052,45363,46198,51004,51004,53460,60954,62649,77693,81077,95191,106622,107560,118319,121866,128905,131112,139613,146361,146767,155517,157691,166980,169476,178846,193647,201322,218475,229608,271295,286202,305942,344802
Raichuru ,478,1617,1659,2966,3035,4375,4375,4375,5515,5588,6057,6201,6364,6561,6561,6561,6561,6561,6743,8343,8799,8875,9947,10559,10892,11922,11990,11990,11990,11990,12001,12023,12072,12543,12558,12591,12744,12966,13067,13227,13231,13231,13231,13231,13388,13656,14072,14722,15303,15378,16131,16422,16700,17444,18784,21052,21052,25160,25493,30028,33124,37847,42739,46078,48203,54336,55536,62643,68052,71336,74444,76655,83074,85602,89207,90590,97541,101655,107941,112971,117973,121425,124670,129246,131317
Ramanagara ,488,1376,1980,3733,4274,4944,4944,4944,5638,5638,5694,5771,5782,5788,5788,5788,5788,5788,5925,6077,6143,6143,6787,7033,7168,7168,7168,7168,7168,7168,7207,7285,7402,7782,8394,8394,9012,9511,9778,9834,10059,10059,10059,10059,10430,10571,10691,10780,10860,10860,11725,11915,13223,13223,15134,15134,15243,18633,19617,28411,33772,36503,43149,46120,48820,53598,56674,59725,62616,64815,64863,66864,68951,70021,73065,78925,86743,93481,96915,104165,112388,121942,123770,128074,130655
Shivamogga ,555,1554,1911,2283,3032,4888,4888,4888,6404,6404,7617,8107,8422,8517,8517,8517,8517,8517,9191,11100,12074,12074,12453,12836,13205,14156,14448,14873,14873,14873,15203,15404,16449,16720,17482,17482,17724,18497,18911,19127,19480,19480,19480,19480,20236,20596,21224,21780,22275,22275,23440,23782,24330,24901,25602,27156,27528,28859,30640,33300,36739,39502,43455,46175,49808,52891,56363,60653,64675,68556,69958,72994,75682,78483,81162,81844,85877,91410,96251,100581,105353,116396,120220,129559,135171
Tumakuru ,1175,4360,8670,9290,9961,12135,12135,12135,13566,13566,14044,14383,15307,15761,15761,15761,15761,15761,15761,15761,16163,16163,17469,19186,20946,23286,24267,24267,24267,24267,24267,24267,24267,24267,24267,24267,24434,24550,24598,24602,24602,24602,24602,24602,24953,25484,26145,26830,27308,27308,32046,39732,45602,49049,58334,58367,58367,70819,81006,92606,93992,102775,109865,116666,121313,124513,129422,130945,133218,134024,134713,135408,137807,141783,145228,145938,148228,156576,160143,167723,178671,182566,187498,200348,209892
Udupi ,511,559,794,1623,2343,3958,3958,3958,5904,5904,7913,8927,10046,10623,10623,10623,10623,10623,10690,11823,13391,13391,13523,14735,14869,16713,17323,17620,17620,17620,17655,17751,18030,18170,18465,18465,19119,19538,20148,20399,20764,20764,20764,20764,21411,21823,22337,22772,23195,23195,24459,25277,28176,28391,31310,34004,34004,36502,39154,42765,47738,52125,58728,60394,63321,67900,72093,74962,77510,79624,80364,83165,85811,89532,91895,94521,98288,102329,106137,111907,118084,124015,127486,134179,137008
Uttara Kannada ,474,1813,1813,3396,3396,4865,4865,4865,5470,5470,7614,7614,8423,8423,8423,8423,8423,8423,8423,9709,9709,9709,10901,10901,11690,13393,14104,14432,14432,14432,14766,14785,14785,14939,15144,15144,15456,16030,16353,16466,16484,16484,16484,16484,16749,17210,17685,18248,18887,18955,20914,21521,24415,24633,27866,29448,29582,35056,35752,42144,42979,47461,52664,54043,59831,63334,69300,71060,74795,77256,77675,80679,82993,86809,89245,95962,108712,111627,116943,122350,130197,138359,146000,154480,157479
Vijayapura ,395,3239,3239,3390,3591,4156,4156,4156,4561,4561,4913,5388,5662,5662,5662,5662,5662,5662,6464,7140,7666,7852,9374,10519,11137,12389,13358,13945,13945,13945,14194,14441,14656,14923,15143,15167,15321,15873,16186,16497,16550,16550,16550,16550,16812,17038,17330,17594,17880,17880,18507,19059,20704,20704,22375,23067,23173,26688,27833,32068,33584,35941,40003,43888,47375,52645,57696,66829,70804,79437,83316,85358,93601,104727,113368,118909,130635,132823,133886,139602,144287,154872,160029,165731,171690
Yadagiri ,178,517,517,859,859,1428,1428,1428,2057,2057,2756,2756,2771,2771,2771,2771,2771,2771,3000,3528,3551,3644,4088,4413,4597,5085,5179,5213,5213,5213,5299,5379,5412,5480,5536,5536,5604,5619,5656,5683,5729,5729,5729,5729,5826,5872,5998,6069,6119,6119,6257,6362,6585,6763,7135,8429,9711,14597,21015,26054,31267,35044,36201,39698,44560,47266,49470,51395,52446,54727,57650,58548,60646,64480,67078,68994,72070,74028,75700,78206,80698,84486,85569,86855,90143
Karnataka,17308,55550,70773,105356,119464,161889,165558,167573,199850,200285,230874,246683,264515,270579,270579,270579,270719,270989,282310,310135,332922,334680,359801,382424,401170,475166,489854,496603,496603,496603,505013,510606,521057,532213,542711,544663,554272,569684,584529,596971,605842,605842,605842,605842,624781,640450,658798,687359,710918,711991,754164,802371,867029,898301,980280,1042869,1065694,1188547,1314665,1492075,1656053,1785115,1978292,2103163,2213744,2381121,2507138,2652528,2778898,2898250,2976480,3069829,3174163,3296897,3417138,3547863,3730227,3896033,4011737,4172983,4344444,4667591,4823218,5083371,5295311
