"district","X18.01.21","X18.01.21.1","X19.01.21","X19.01.21.1","X20.01.21","X20.01.21.1","X21.01.21","X21.01.21.1","X22.01.21","X22.01.21.1","X23.01.21","X23.01.21.1","X24.01.21","X24.01.21.1","X25.01.21","X25.01.21.1","X26.01.21","X26.01.21.1","X27.01.21","X27.01.21.1","X28.01.21","X28.01.21.1","X29.01.21","X29.01.21.1","X30.01.21","X30.01.21.1","X02.02.21","X02.02.21.1","X03.02.21","X03.02.21.1","X04.02.21","X04.02.21.1","X05.02.21","X05.02.21.1","X06.02.21","X06.02.21.1","X07.02.21","X07.02.21.1","X08.02.21","X08.02.21.1","X09.02.21","X09.02.21.1","X10.02.21","X10.02.21.1","X11.02.21","X11.02.21.1","X12.02.21","X12.02.21.1","X13.02.21","X13.02.21.1","X14.02.21","X14.02.21.1","X15.02.21","X15.02.21.1","X16.02.21","X16.02.21.1","X17.02.21","X17.02.21.1","X18.02.21","X18.02.21.1","X19.02.21","X19.02.21.1","X20.02.21","X20.02.21.1","X21.02.21","X21.02.21.1","X22.02.21","X22.02.21.1","X24.02.21","X24.02.21.1","X25.02.21","X25.02.21.1","X26.02.21","X26.02.21.1","X01.03.21","X01.03.21.1","X02.03.21","X02.03.21.1","X03.03.21","X03.03.21.1","X04.03.21","X04.03.21.1","X05.03.21","X05.03.21.1","X06.03.21","X06.03.21.1","X07.03.21","X07.03.21.1","X08.03.21","X08.03.21.1","X09.03.21","X09.03.21.1","X10.03.21","X10.03.21.1","X11.03.21","X11.03.21.1","X12.03.21","X12.03.21.1","X13.03.21","X13.03.21.1","X14.03.21","X14.03.21.1","X15.03.21","X15.03.21.1","X16.03.21","X16.03.21.1","X17.03.21","X17.03.21.1","X18.03.21","X18.03.21.1","X19.03.21","X19.03.21.1","X20.03.21","X20.03.21.1","X21.03.21","X21.03.21.1","X22.03.21","X22.03.21.1","X23.03.21","X23.03.21.1","X24.03.21","X24.03.21.1","X25.03.21","X25.03.21.1","X26.03.21","X26.03.21.1","X27.03.21","X27.03.21.1","X28.03.21","X28.03.21.1","X29.03.21","X29.03.21.1","X30.03.21","X30.03.21.1","X31.03.21","X31.03.21.1","X01.04.21","X01.04.21.1","X02.04.21","X02.04.21.1","X03.04.21","X03.04.21.1","X04.04.21","X04.04.21.1","X05.04.21","X05.04.21.1","X06.04.21","X06.04.21.1","X07.04.21","X07.04.21.1","X08.04.21","X08.04.21.1","X09.04.21","X09.04.21.1","X10.04.21","X10.04.21.1","X11.04.21","X11.04.21.1","X12.04.21","X12.04.21.1","X13.04.21","X13.04.21.1","X14.04.21","X14.04.21.1","X15.04.21","X15.04.21.1","X16.04.21","X16.04.21.1","X17.04.21","X17.04.21.1","X18.04.21","X18.04.21.1","X19.04.21","X19.04.21.1","X20.04.21","X20.04.21.1","X21.04.21","X21.04.21.1","X22.04.21","X22.04.21.1","X23.04.21","X23.04.21.1","X24.04.21","X24.04.21.1","X26.04.21","X26.04.21.1","X27.04.21","X27.04.21.1","X28.04.21","X28.04.21.1","X29.04.21","X29.04.21.1","X30.04.21","X30.04.21.1","X03.06.21","X03.06.21.1","X04.06.21","X04.06.21.1","X05.06.21","X05.06.21.1","X06.06.21","X06.06.21.1","X07.06.21","X07.06.21.1","X08.06.21","X08.06.21.1","X09.06.21","X09.06.21.1","X10.06.21","X10.06.21.1","X11.06.21","X11.06.21.1","X12.06.21","X12.06.21.1","X13.06.21","X13.06.21.1","X14.06.21","X14.06.21.1","X15.06.21","X15.06.21.1","X16.06.21","X16.06.21.1","X17.06.21","X17.06.21.1","X18.06.21","X18.06.21.1","X19.06.21","X19.06.21.1","X20.06.21","X20.06.21.1","X21.06.21","X21.06.21.1","X22.06.21","X22.06.21.1","X23.06.21","X23.06.21.1","X24.06.21","X24.06.21.1","X25.06.21","X25.06.21.1","X26.06.21","X26.06.21.1","X27.06.21","X27.06.21.1","X28.06.21","X28.06.21.1","X29.06.21","X29.06.21.1","X30.06.21","X30.06.21.1","X01.07.21","X01.07.21.1","X02.07.21","X02.07.21.1","X03.07.21","X03.07.21.1","X04.07.21","X04.07.21.1","X05.07.21","X05.07.21.1","X06.07.21","X06.07.21.1","X01.05.21","X01.05.21.1","X02.05.21","X02.05.21.1","X03.05.21","X03.05.21.1","X04.05.21","X04.05.21.1","X05.05.21","X05.05.21.1","X06.05.21","X06.05.21.1","X07.05.21","X07.05.21.1","X08.05.21","X08.05.21.1","X09.05.21","X09.05.21.1","X10.05.21","X10.05.21.1","X11.05.21","X11.05.21.1","X13.05.21","X13.05.21.1","X14.05.21","X14.05.21.1","X15.05.21","X15.05.21.1","X16.05.21","X16.05.21.1","X17.05.21","X17.05.21.1","X18.05.21","X18.05.21.1","X19.05.21","X19.05.21.1","X20.05.21","X20.05.21.1","X21.05.21","X21.05.21.1","X22.05.21","X22.05.21.1","X23.05.21","X23.05.21.1","X24.05.21","X24.05.21.1","X25.05.21","X25.05.21.1","X26.05.21","X26.05.21.1","X27.05.21","X27.05.21.1","X28.05.21","X28.05.21.1","X29.05.21","X29.05.21.1","X30.05.21","X30.05.21.1","X31.05.21","X31.05.21.1","X01.06.21","X01.06.21.1","X02.06.21","X02.06.21.1","X07.07.21","X07.07.21.1","X08.07.21","X08.07.21.1","X09.07.21","X09.07.21.1","X10.07.21","X10.07.21.1","X11.07.21","X11.07.21.1","X12.07.21","X12.07.21.1","X13.07.21","X13.07.21.1","X14.07.21","X14.07.21.1","X15.07.21","X15.07.21.1","X16.07.21","X16.07.21.1","X17.07.21","X17.07.21.1","X18.07.21","X18.07.21.1","X19.07.21","X19.07.21.1","X21.07.21","X21.07.21.1","X22.07.21","X22.07.21.1","X23.07.21","X23.07.21.1","X24.07.21","X24.07.21.1","X25.07.21","X25.07.21.1","X26.07.21","X26.07.21.1","X27.07.21","X27.07.21.1","X28.07.21","X28.07.21.1","X29.07.21","X29.07.21.1","X30.07.21","X30.07.21.1","X31.07.21","X31.07.21.1","X01.08.21","X01.08.21.1","X02.08.21","X02.08.21.1","X03.08.21","X03.08.21.1","X04.08.21","X04.08.21.1","X05.08.21","X05.08.21.1","X06.08.21","X06.08.21.1","X07.08.21","X07.08.21.1","X08.08.21","X08.08.21.1","X09.08.21","X09.08.21.1","X10.08.21","X10.08.21.1","X11.08.21","X11.08.21.1","X12.08.21","X12.08.21.1","X13.08.21","X13.08.21.1","X14.08.21","X14.08.21.1","X15.08.21","X15.08.21.1","X16.08.21","X16.08.21.1","X17.08.21","X17.08.21.1","X18.08.21","X18.08.21.1","X19.08.21","X19.08.21.1","X20.08.21","X20.08.21.1","X21.08.21","X21.08.21.1","X22.08.21","X22.08.21.1","X23.08.21","X23.08.21.1","X24.08.21","X24.08.21.1","X25.08.21","X25.08.21.1","X26.08.21","X26.08.21.1","X27.08.21","X27.08.21.1","X28.08.21","X28.08.21.1","X29.08.21","X29.08.21.1","X30.08.21","X30.08.21.1","X31.08.21","X31.08.21.1","X01.09.21","X01.09.21.1","X02.09.21","X02.09.21.1","X03.09.21","X03.09.21.1","X04.09.21","X04.09.21.1","X05.09.21","X05.09.21.1","X06.09.21","X06.09.21.1","X07.09.21","X07.09.21.1","X08.09.21","X08.09.21.1","X09.09.21","X09.09.21.1","X10.09.21","X10.09.21.1","X11.09.21","X11.09.21.1","X12.09.21","X12.09.21.1","X13.09.21","X13.09.21.1","X14.09.21","X14.09.21.1","X15.09.21","X15.09.21.1","X16.09.21","X16.09.21.1","X17.09.21","X17.09.21.1","X18.09.21","X18.09.21.1","X19.09.21","X19.09.21.1","X20.09.21","X20.09.21.1","X21.09.21","X21.09.21.1","X22.09.21","X22.09.21.1","X23.09.21","X23.09.21.1","X24.09.21","X24.09.21.1","X25.09.21","X25.09.21.1","X26.09.21","X26.09.21.1","X27.09.21","X27.09.21.1","X28.09.21","X28.09.21.1","X29.09.21","X29.09.21.1","X30.09.21","X30.09.21.1","X01.10.21","X01.10.21.1","X02.10.21","X02.10.21.1","X03.10.21","X03.10.21.1","X04.10.21","X04.10.21.1","X05.10.21","X05.10.21.1","X06.10.21","X06.10.21.1","X07.10.21","X07.10.21.1","X08.10.21","X08.10.21.1","X09.10.21","X09.10.21.1","X10.10.21","X10.10.21.1","X11.10.21","X11.10.21.1","X12.10.21","X12.10.21.1","X13.10.21","X13.10.21.1","X14.10.21","X14.10.21.1","X15.10.21","X15.10.21.1","X16.10.21","X16.10.21.1","X17.10.21","X17.10.21.1","X18.10.21","X18.10.21.1","X19.10.21","X19.10.21.1","X20.10.21","X20.10.21.1","X21.10.21","X21.10.21.1","X22.10.21","X22.10.21.1","X23.10.21","X23.10.21.1","X24.10.21","X24.10.21.1","X25.10.21","X25.10.21.1","X26.10.21","X26.10.21.1","X27.10.21","X27.10.21.1","X28.10.21","X28.10.21.1","X29.10.21","X29.10.21.1","X30.10.21","X30.10.21.1","X31.10.21","X31.10.21.1","X01.11.21","X01.11.21.1","X02.11.21","X02.11.21.1","X03.11.21","X03.11.21.1","X04.11.21","X04.11.21.1","X05.11.21","X05.11.21.1","X06.11.21","X06.11.21.1","X07.11.21","X07.11.21.1","X08.11.21","X08.11.21.1","X09.11.21","X09.11.21.1","X10.11.21","X10.11.21.1","X11.11.21","X11.11.21.1","X12.11.21","X12.11.21.1","X13.11.21","X13.11.21.1","X14.11.21","X14.11.21.1","X15.11.21","X15.11.21.1","X16.11.21","X16.11.21.1","X17.11.21","X17.11.21.1","X18.11.21","X18.11.21.1","X19.11.21","X19.11.21.1","X20.11.21","X20.11.21.1","X21.11.21","X21.11.21.1","X22.11.21","X22.11.21.1","X23.11.21","X23.11.21.1","X24.11.21","X24.11.21.1","X25.11.21","X25.11.21.1","X26.11.21","X26.11.21.1","X27.11.21","X27.11.21.1","X28.11.21","X28.11.21.1","X29.11.21","X29.11.21.1","X30.11.21","X30.11.21.1","X01.12.21","X01.12.21.1","X02.12.21","X02.12.21.1","X03.12.21","X03.12.21.1","X04.12.21","X04.12.21.1","X05.12.21","X05.12.21.1","X06.12.21","X06.12.21.1","X07.12.21","X07.12.21.1","X08.12.21","X08.12.21.1","X09.12.21","X09.12.21.1","X10.12.21","X10.12.21.1","X11.12.21","X11.12.21.1","X12.12.21","X12.12.21.1","X13.12.21","X13.12.21.1","X14.12.21","X14.12.21.1","X15.12.21","X15.12.21.1","X16.12.21","X16.12.21.1","X17.12.21","X17.12.21.1","X18.12.21","X18.12.21.1","X19.12.21","X19.12.21.1","X20.12.21","X20.12.21.1","X21.12.21","X21.12.21.1","X22.12.21","X22.12.21.1","X23.12.21","X23.12.21.1","X24.12.21","X24.12.21.1","X25.12.21","X25.12.21.1","X26.12.21","X26.12.21.1","X27.12.21","X27.12.21.1","X28.12.21","X28.12.21.1","X29.12.21","X29.12.21.1","X30.12.21","X30.12.21.1","X31.12.21","X31.12.21.1","X01.01.22","X01.01.22.1","X02.01.22","X02.01.22.1","X03.01.22","X03.01.22.1","X04.01.22","X04.01.22.1","X05.01.22","X05.01.22.1","X06.01.22","X06.01.22.1","X07.01.22","X07.01.22.1","X08.01.22","X08.01.22.1","X09.01.22","X09.01.22.1","X10.01.22","X10.01.22.1","X10.01.22.2","X11.01.22","X11.01.22.1","X11.01.22.2","X12.01.22","X12.01.22.1","X12.01.22.2","X13.01.22","X13.01.22.1","X13.01.22.2","X14.01.22","X14.01.22.1","X14.01.22.2","X15.01.22","X15.01.22.1","X15.01.22.2","X16.01.22","X16.01.22.1","X16.01.22.2","X17.01.22","X17.01.22.1","X17.01.22.2","X18.01.22","X18.01.22.1","X18.01.22.2","X19.01.22","X19.01.22.1","X19.01.22.2","X21.01.22","X21.01.22.1","X21.01.22.2","X22.01.22","X22.01.22.1","X22.01.22.2","X23.01.22","X23.01.22.1","X23.01.22.2","X24.01.22","X24.01.22.1","X24.01.22.2","X25.01.22","X25.01.22.1","X25.01.22.2","X26.01.22","X26.01.22.1","X26.01.22.2","X27.01.22","X27.01.22.1","X27.01.22.2","X28.01.22","X28.01.22.1","X28.01.22.2","X29.01.22","X29.01.22.1","X29.01.22.2","X30.01.22","X30.01.22.1","X30.01.22.2","X31.01.22","X31.01.22.1","X31.01.22.2","X01.02.22","X01.02.22.1","X01.02.22.2","X02.02.22","X02.02.22.1","X02.02.22.2","X03.02.22","X03.02.22.1","X03.02.22.2","X04.02.22","X04.02.22.1","X04.02.22.2","X05.02.22","X05.02.22.1","X05.02.22.2","X06.02.22","X06.02.22.1","X06.02.22.2","X07.02.22","X07.02.22.1","X07.02.22.2","X08.02.22","X08.02.22.1","X08.02.22.2","X09.02.22","X09.02.22.1","X09.02.22.2","X10.02.22","X10.02.22.1","X10.02.22.2","X11.02.22","X11.02.22.1","X11.02.22.2","X12.02.22","X12.02.22.1","X12.02.22.2","X13.02.22","X13.02.22.1","X13.02.22.2","X14.02.22","X14.02.22.1","X14.02.22.2","X15.02.22","X15.02.22.1","X15.02.22.2","X16.02.22","X16.02.22.1","X16.02.22.2","X17.02.22","X17.02.22.1","X17.02.22.2","X18.02.22","X18.02.22.1","X18.02.22.2","X19.02.22","X19.02.22.1","X19.02.22.2","X20.02.22","X20.02.22.1","X20.02.22.2","X21.02.22","X21.02.22.1","X21.02.22.2","23-02-22","23-02-22","23-02-22","24-02-22","24-02-22","24-02-22","25-02-22","25-02-22","25-02-22","26-02-22","26-02-22","26-02-22","27-02-22","27-02-22","27-02-22","28-02-22","28-02-22","28-02-22"
"Bagalakote",112,0,850,0,1539,0,1790,0,2910,0,2910,0,2910,0,3525,0,3525,0,3868,0,4094,0,4606,0,4971,0,4971,0,4971,0,5196,0,5823,0,6507,0,6507,0,7102,0,7381,0,7615,0,8418,0,8738,0,10171,0,8881,0,8906,136,8929,298,9041,996,9598,1190,9700,2406,10093,1890,10469,1894,10915,2712,12286,3194,12952,3379,13886,3689,13658,3459,14057,3844,14289,3886,14521,4027,14671,4095,14941,4279,14941,4279,15317,4592,15654,4898,16095,5197,16125,5267,16755,5411,16793,5425,16793,5425,18697,5480,23684,5694,28548,5858,35498,6008,44827,6197,52838,6489,60389,6825,64258,7124,72317,7143,79883,7372,86275,7566,94872,7846,97252,7950,100204,8141,101950,8203,104172,8318,107939,8479,111905,8634,121073,8800,130628,8933,137543,9166,141741,9233,149154,9430,151861,9539,163763,9955,170871,10333,176202,10444,181271,10620,183133,10847,184936,11198,185543,11349,187926,12040,189025,12186,190360,12694,195134,14587,196485,15112,197653,16154,201333,18070,202986,20243,212613,23025,214938,24539,218039,26363,219960,27822,221637,29166,223439,30594,224546,31455,297498,77395,300520,78593,304415,80655,307121,81612,309462,82780,315334,85017,322490,86394,326354,87358,332390,88743,337053,89784,340601,90842,344824,91563,350684,93387,354468,95331,357509,97177,359270,98337,365513,100442,367695,101900,377262,103991,397496,107362,404093,108399,408420,109761,415272,111355,417219,112460,418629,112773,426312,115240,436513,119179,442706,121378,448730,122847,457378,124934,464252,127559,468553,129268,475476,131641,482310,133883,225739,32407,226408,32830,226741,33179,226888,33350,227455,34074,228784,35389,231742,39361,232473,42177,232889,44058,232983,45254,233786,47374,237513,52124,237832,52483,238254,55701,238705,58120,239739,59488,241802,61055,243516,62415,244692,63086,256940,63524,260723,66012,261846,66345,265360,67300,267502,68087,270427,69168,273911,70546,278031,71871,281738,72712,284109,73158,287744,74112,291725,75075,294448,76161,485995,134564,491162,136219,497216,137881,502999,139573,504869,140061,513929,141931,513929,141931,526465,143112,526465,143112,533332,144936,535760,145669,537086,146079,542073,147658,546836,149290,549280,150254,552946,151530,556629,152898,562451,154404,564287,155192,567958,156345,570964,157434,575711,159170,579285,160648,583854,162337,590790,163132,600730,166039,618877,169668,625063,171704,630140,173313,634096,175054,637041,176003,638770,176477,642278,177433,649519,179928,658591,182397,660855,183211,662546,184146,664839,185275,667870,185793,672300,187191,681319,189927,696840,194416,712125,198781,716972,201175,716972,201175,722232,205536,727271,209162,737799,213323,745032,216227,749408,218197,763619,222264,788799,227975,795956,229609,804274,231689,817478,234147,834894,238342,854135,243118,860899,244768,864075,245787,867952,247585,871646,249081,876021,251303,891158,258168,908206,265891,910473,266853,912457,268544,913285,269386,915882,271493,917821,273358,920831,276319,921514,277103,947430,292187,976833,307414,977934,308050,980282,310405,982913,313288,996274,326696,1004446,333404,1006999,335908,1009072,338480,1009402,339014,1010433,340352,1013280,344560,1028452,362433,1036537,370203,1038585,372678,1039254,373475,1039547,373720,1040511,375555,1041515,377101,1041857,377705,1042219,378680,1052092,407650,1059912,430633,1063122,447622,1067689,475717,1073864,513748,1087016,551826,1092946,557599,1093809,558573,1095170,560989,1095785,562002,1097135,564600,1097905,565337,1098095,565585,1110523,566342,1118708,577410,1126357,586933,1129347,589990,1131913,591474,1135004,592187,1150559,600361,1166591,610234,1177886,611883,1184980,612945,1187529,613413,1188358,613750,1189791,615444,1190613,615931,1190753,615982,1190817,616014,1199092,627578,1204609,633490,1206348,635224,1208143,636384,1217936,648950,1226547,658090,1228656,660983,1231358,664282,1231814,664642,1232609,666660,1233912,668566,1240380,685711,1246133,696693,1247016,698984,1247881,700623,1248104,701116,1248214,701397,1250733,720227,1255601,751566,1257425,768159,1258137,770255,1258696,772922,1258856,773220,1259592,774685,1262719,795178,1267665,828426,1269836,840447,1271167,844203,1272129,847435,1272545,848399,1273211,850269,1277202,866110,1286430,894391,1296479,912466,1304192,929054,1314422,956069,1322769,967816,1334419,977647,1344679,1002742,1354711,1035616,1361797,1063186,1364347,1075153,1366590,1080131,1367441,1081346,1368254,1083199,1369672,1087460,1371433,1096595,1372656,1102625,1373903,1105806,1374618,1107005,1374703,1107202,1375056,1108628,1375831,1111227,1377693,1113630,1378618,1114986,1379342,1117348,1379667,1118820,1379742,1120061,1271167,844203,1272545,848399,1436802,1124912,1449068,1127347,1457308,1131201,1461815,1134597,1462148,1136141,1464623,1138008,1119,1467917,1142568,1959,1471497,1149004,2622,1475396,1151902,3002,1478860,1157662,3265,1479880,1164483,3477,1480335,1165665,3609,1481677,1168219,3834,1483979,1171444,4225,1487064,1180519,4536,1491787,1203609,9433,1492395,1205861,10575,1491787,1203609,9433,1492395,1205861,10575,1492395,1205861,10575,1493727,1211803,12729,1494117,1222040,14203,1494853,1227679,15742,1497675,1239282,16897,1495915,1242537,16955,1496341,1245769,17273,1495759,1197053,17479,1497719,1260234,17689,1502126,1278145,18002,1502126,1278145,18002,1500647,1278967,18163,1500766,1280060,18208,1502818,1283192,18324,1501539,1285501,18516,1501940,1287171,19692,1502245,1286731,18796,1502457,1286959,18923,1502568,1287121,19023,1502585,1287150,19029,1502782,1289311,19146,1503106,1296321,19601,1502782,1289311,19146,1503862,1306871,23429,1524015,1300023,20544,1504036,1311445,20628,1504036,1311445,20628,935244,1313904,20825,1435883,1319193,21408,1504800,1317032,21472,1504832,1319005,21530,1505163,1316590,21553,1500218,1316116,21564,1499273,1320050,21622
"Ballari",1333,0,1494,0,3542,0,3656,0,5130,0,5130,0,5517,0,7213,0,7265,0,7700,0,7802,0,8244,0,8244,0,8244,0,8244,0,8482,0,9146,0,10575,0,10575,0,11471,0,12649,0,13631,0,15638,0,16158,0,24946,0,16838,0,17169,222,17272,1098,17448,2532,17577,2636,17835,3918,17980,4610,17980,4610,18068,4942,20046,6489,20551,6993,20706,7154,20766,6993,21434,7683,21871,7764,23321,7808,24217,7892,25394,8018,25394,8018,26132,8275,27575,9433,28539,9741,29250,10249,30742,10613,35192,11084,35192,11084,43810,11707,52519,11680,68682,12049,77588,12450,86697,12667,95175,12860,97796,12934,102238,12989,108615,13186,112131,13419,114116,13555,118740,13788,124222,14118,126868,14228,131717,14362,138246,14872,141605,15177,146974,15493,160466,15924,177949,16280,185833,16672,192447,16987,201364,17442,206351,17897,228236,18775,234070,18956,251341,19725,261237,20232,265186,20810,267219,20983,268939,21491,271507,22470,274689,23377,281326,26086,299807,33366,301491,34712,307267,37817,311033,39258,314066,41268,313219,39275,316068,40704,321152,44299,327201,48385,331723,51343,334041,52780,338167,55522,448533,116798,457960,118260,466928,119756,471200,120204,475734,121055,481916,122057,488677,122954,495339,123706,503022,124349,509040,124949,511965,125386,516317,126074,523140,127658,527147,129458,530048,130590,534961,131468,543242,132928,544296,133298,576218,133890,621104,134813,631041,135222,634441,135418,659387,138195,672919,139938,675596,140401,681303,142873,687755,146820,691583,148619,695652,149599,700747,150980,708751,156151,712641,158064,717995,163048,724872,167160,343470,58607,345197,59409,346546,60452,347233,61153,350073,64284,351787,66132,354221,69503,355516,75740,355883,78637,356227,80273,357863,84572,363372,90846,364373,91685,364831,96657,365300,98731,367568,99324,371216,100241,374976,100655,377697,102043,398777,103642,404011,107134,404484,107418,407297,107638,409983,107945,413411,108373,416844,108600,420562,110405,426185,112199,428765,112510,433589,113728,438801,114801,442564,115431,730351,169607,734086,170903,740050,172139,743868,174780,745600,176558,755077,181354,755077,181354,770092,184106,770092,184106,775922,187443,780523,189439,785203,190842,796641,197097,802417,204073,808346,206169,818183,212238,824401,216995,827252,219749,832451,222376,841402,227935,846137,230771,847919,231627,852117,233962,860745,237128,868191,237543,880201,244274,898044,252022,907802,256007,914509,259511,917188,262030,926294,266046,930729,267705,934634,268971,946734,272471,955027,277447,959043,278729,960913,279692,967020,281876,971780,282858,983348,288052,999434,293027,1003985,297685,1005313,302823,1005668,307473,1005668,307473,1016654,319737,1022233,323746,1031099,330692,1042867,338471,1052368,344870,1066721,352487,1081395,359979,1085903,362717,1096959,367836,1110013,373603,1128219,380926,1144562,387425,1153976,392217,1165377,397272,1172512,399208,1183542,404352,1202778,411929,1220694,418599,1235583,424118,1240863,426198,1245411,429379,1249474,430820,1253117,433822,1259765,439872,1267039,447298,1271037,453602,1326405,479329,1400623,506625,1412159,513626,1421215,520651,1429176,527492,1456205,539461,1478885,549694,1491919,563013,1498607,572937,1503628,576923,1509803,581679,1514359,588459,1537280,600971,1554567,611917,1557396,616768,1561716,620684,1564316,622337,1566746,626746,1569750,631290,1571973,633665,1574880,637647,1595143,657277,1611517,670330,1617904,676347,1626423,686889,1638225,699486,1646513,710393,1648448,712125,1648667,712539,1650247,716029,1651444,716927,1653378,723103,1656469,730693,1657952,735908,1683342,741114,1695479,764027,1703456,777518,1704091,779083,1708242,789982,1716209,810066,1726674,827920,1736113,842954,1745195,855649,1753667,862692,1757269,863961,1761276,866885,1766937,873306,1770352,876746,1771414,877894,1771968,878128,1776507,888483,1779191,892705,1780999,897965,1783627,907046,1788170,920105,1790446,927037,1792064,932914,1794296,938397,1794878,939800,1796603,944474,1799356,951734,1807470,970191,1814430,984278,1818840,988270,1823343,992755,1826928,993965,1832755,997462,1839407,1005153,1848195,1025427,1855303,1039742,1863992,1053509,1878438,1072811,1891630,1082512,1902290,1095366,1913264,1110711,1927075,1138825,1935128,1156367,1941228,1168849,1946554,1180922,1950609,1188862,1955025,1197878,1960508,1209140,1968304,1232766,1974456,1247475,1977478,1257788,1980271,1268831,1981032,1273672,1982679,1282896,1984965,1295216,1988405,1308660,1990522,1317439,1994095,1343214,1997677,1365581,1998352,1369409,1999101,1373591,1999976,1379520,2002934,1404203,2004698,1422513,2005406,1431721,2006479,1446341,2006700,1451433,2007765,1464425,2009121,1483318,2011643,1513063,2013937,1533450,2014908,1547471,2015517,1555022,2015595,1556601,1941228,1168849,1950609,1188862,2099778,1571700,2112203,1581550,2120955,1587752,2126273,1594451,2126564,1597941,2128601,1602291,3229,2130895,1606193,5041,2134423,1618291,5837,2137041,1627112,6671,2140157,1631408,7359,2141271,1634208,7882,2142665,1634878,7965,2145063,1637435,8867,2147025,1641733,9583,2151222,1657998,10466,2161802,1695635,15900,2168622,1698857,18824,2161804,1695635,15900,2166522,1698857,16824,2166522,1698857,16824,2174506,1712986,18453,2176713,1721119,19120,2178675,1725316,20126,1581003,1647690,21370,2182945,1763387,21640,2183830,1768582,22134,2185027,1778867,22450,2167505,1796747,23210,2191242,1720202,23844,2191242,1720202,23844,2193017,1836346,24418,2193740,1842024,24984,2192046,1850190,25332,2194784,1858204,25999,2195309,1861949,26847,2195675,1764738,27089,2195888,1766893,27232,2196709,1872070,29002,2196855,1887365,29290,2197180,1892142,29598,2197812,1896728,29754,2197180,1892142,29598,1598856,1915900,31445,2198743,1925576,31775,2209711,1937566,32256,2199711,1937566,32256,2200088,1945837,32603,2200772,1950251,33128,2201112,1970999,33033,2209289,1976877,33442,2201412,1999930,23625,1602045,1980623,33638,2203593,1984938,33751
