DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
39,26/04/2020,72,23,2,,,,,,
40,26/04/2020,56,23,0,,,,,,
41,26/04/2020,3,0,0,,,,,,
42,26/04/2020,22,19,0,,,,,,
43,26/04/2020,0,0,0,,,,,,
44,26/04/2020,51,10,0,,,,,,
32,27/04/2020,53,14,4,,,,,,
33,27/04/2020,73,16,0,,,,,,
34,27/04/2020,39,12,0,,,,,,
35,27/04/2020,237,29,8,,,,,,
36,27/04/2020,58,28,0,,,,,,
37,27/04/2020,210,29,8,,,,,,
38,27/04/2020,292,31,9,,,,,,
39,27/04/2020,79,23,2,,,,,,
40,27/04/2020,56,23,0,,,,,,
41,27/04/2020,4,0,0,,,,,,
42,27/04/2020,22,19,0,,,,,,
43,27/04/2020,0,0,0,,,,,,
44,27/04/2020,54,11,0,,,,,,
32,28/04/2020,54,14,4,,,,,,
33,28/04/2020,74,16,0,,,,,,
34,28/04/2020,39,12,0,,,,,,
35,28/04/2020,254,39,8,,,,,,
36,28/04/2020,65,28,0,,,,,,
37,28/04/2020,223,29,8,,,,,,
38,28/04/2020,332,43,9,,,,,,
39,28/04/2020,82,24,2,,,,,,
40,28/04/2020,56,23,0,,,,,,
41,28/04/2020,4,0,0,,,,,,
42,28/04/2020,22,19,0,,,,,,
43,28/04/2020,0,0,0,,,,,,
44,28/04/2020,54,11,0,,,,,,
32,29/04/2020,58,17,4,,,,,,
33,29/04/2020,77,16,0,,,,,,
34,29/04/2020,40,12,0,,,,,,
35,29/04/2020,283,59,8,,,,,,
36,29/04/2020,69,28,0,,,,,,
37,29/04/2020,236,32,8,,,,,,
38,29/04/2020,343,43,9,,,,,,
39,29/04/2020,82,27,2,,,,,,
40,29/04/2020,60,23,0,,,,,,
41,29/04/2020,5,0,0,,,,,,
42,29/04/2020,23,19,0,,,,,,
43,29/04/2020,0,0,0,,,,,,
44,29/04/2020,56,11,0,,,,,,
32,30/04/2020,61,20,4,,,,,,
33,30/04/2020,80,16,0,,,,,,
34,30/04/2020,42,14,0,,,,,,
35,30/04/2020,287,87,8,,,,,,
36,30/04/2020,73,28,0,,,,,,
37,30/04/2020,246,32,8,,,,,,
38,30/04/2020,386,43,9,,,,,,
39,30/04/2020,84,27,2,,,,,,
40,30/04/2020,60,23,0,,,,,,
41,30/04/2020,5,0,0,,,,,,
42,30/04/2020,23,20,0,,,,,,
43,30/04/2020,0,0,0,,,,,,
44,30/04/2020,56,11,0,,,,,,
32,01/05/2020,67,22,4,,,,,,
33,01/05/2020,80,22,0,,,,,,
34,01/05/2020,42,17,0,,,,,,
35,01/05/2020,306,97,8,,,,,,
36,01/05/2020,79,37,0,,,,,,
37,01/05/2020,246,37,8,,,,,,
38,01/05/2020,411,66,10,,,,,,
39,01/05/2020,84,43,3,,,,,,
40,01/05/2020,60,23,0,,,,,,
41,01/05/2020,5,0,0,,,,,,
42,01/05/2020,25,20,0,,,,,,
43,01/05/2020,0,0,0,,,,,,
44,01/05/2020,58,19,0,,,,,,
32,02/05/2020,71,24,4,,,,,,
33,02/05/2020,80,24,0,,,,,,
34,02/05/2020,45,17,0,,,,,,
35,02/05/2020,308,97,8,,,,,,
36,02/05/2020,83,37,0,,,,,,
37,02/05/2020,258,44,8,,,,,,
38,02/05/2020,436,66,10,,,,,,
39,02/05/2020,90,44,3,,,,,,
40,02/05/2020,61,42,0,,,,,,
41,02/05/2020,5,0,0,,,,,,
42,02/05/2020,29,20,0,,,,,,
43,02/05/2020,0,0,0,,,,,,
44,02/05/2020,59,26,0,,,,,,
32,03/05/2020,78,24,4,,,,,,
33,03/05/2020,81,37,0,,,,,,
34,03/05/2020,45,20,0,,,,,,
35,03/05/2020,319,115,8,,,,,,
36,03/05/2020,83,37,0,,,,,,
37,03/05/2020,266,46,8,,,,,,
38,03/05/2020,466,77,10,,,,,,
39,03/05/2020,91,44,3,,,,,,
40,03/05/2020,61,42,0,,,,,,
