DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,,,
100,07/04/2020,22,8,1,,,,,,,,
100,09/04/2020,22,12,1,,,,,,,,
100,10/04/2020,22,13,1,,,,,,,,
100,14-04-2020,22,15,1,,,,,,,,
100,16-04-2020,22,16,1,,,,,,,,
100,17-04-2020,22,18,1,,,,,,,,
100,27-04-2020,22,19,1,,,,,,,,
100,01/05/2020,22,20,1,,,,,,,,
100,08/05/2020,23,20,1,,,,,,,,
100,10/05/2020,24,20,1,,,,,,,,
100,17-05-2020,25,20,1,,,,,,,,
100,18-05-2020,26,20,1,,,,,,,,
100,20-05-2020,27,20,1,,,,,,,,
100,21-05-2020,27,21,1,,,,,,,,
100,24-05-2020,31,21,1,,,,,,,,
100,25-05-2020,31,22,1,,,,,,,,
100,26-05-2020,36,23,1,,,,,,,,
100,27-05-2020,38,23,1,,,,,,,,
100,29-05-2020,42,23,1,,,,,,,,
100,30-05-2020,46,23,1,,,,,,,,
100,31-05-2020,47,24,1,,,,,,,,
100,01/06/2020,50,24,1,,,,,,,,
100,02/06/2020,53,24,1,,,,,,,,
100,03/06/2020,58,24,1,,,,,,,,
100,04/06/2020,60,24,1,,,,,,,,
100,05/06/2020,70,28,1,,,,,,,,
100,06/06/2020,73,32,1,,,,,,,,
100,08/06/2020,76,32,1,,,,,,,,
100,09/06/2020,80,33,1,,,,,,,,
100,10/06/2020,84,35,1,,,,,,,,
100,11/06/2020,86,41,1,,,,,,,,
100,12/06/2020,91,44,1,,,,,,,,
100,13-06-2020,98,44,1,,,,,,,,
100,14-06-2020,105,45,1,,,,,,,,
100,15-06-2020,118,47,1,,,,,,,,
100,16-06-2020,131,48,1,,,,,,,,
100,17-06-2020,136,50,1,,,,,,,,
100,18-06-2020,142,54,1,,,,,,,,
100,19-06-2020,153,54,1,,,,,,,,
100,20-06-2020,156,55,1,,,,,,,,
100,21-06-2020,161,55,1,,,,,,,,
100,22-06-2020,175,64,1,,,,,,,,
100,23-06-2020,188,70,1,,,,,,,,
100,24-06-2020,196,74,1,,,,,,,,
100,25-06-2020,206,76,1,,,,,,,,
100,26-06-2020,215,76,1,,,,,,,,
100,27-06-2020,229,76,1,,,,,,,,
100,28-06-2020,236,76,1,,,,,,,,
100,29-06-2020,241,78,1,,,,,,,,
100,30-06-2020,251,85,1,,,,,,,,
100,01/07/2020,263,86,1,,,,,,,,
100,02/07/2020,272,96,1,,,,,,,,
100,03/07/2020,289,116,1,,,,,,,,
100,04/07/2020,302,123,1,,,,,,,,
100,05/07/2020,314,130,1,,,,,,,,
100,06/07/2020,339,146,2,,,,,,,,
100,07/07/2020,360,166,2,,,,,,,,
100,08/07/2020,376,178,2,,,,,,,,
100,09/07/2020,388,193,2,,,,,,,,
100,10/07/2020,408,197,2,,,,,,,,
100,11/07/2020,455,200,3,,,,,,,,
100,12/07/2020,505,205,3,,,,,,,,
100,13-07-2020,520,215,3,,,,,,,,
100,14-07-2020,590,215,3,,,,,,,,
100,15-07-2020,662,216,3,,,,,,,,
100,16-07-2020,719,223,3,,,,,,,,
100,17-07-2020,834,227,3,,,,,,,,
100,18-07-2020,878,235,3,,,,,,,,
100,19-07-2020,976,242,4,,,,,,,,
100,20-07-2020,1048,249,5,,,,,,,,
100,21-07-2020,1128,254,5,,,,,,,,
100,22-07-2020,1220,272,5,,,,,,,,
100,23-07-2020,1320,367,6,,,,,,,,
100,24-07-2020,1389,518,6,,,,,,,,
100,25-07-2020,1468,595,7,,,,,,,,
100,26-07-2020,1529,702,7,,,,,,,,
100,27-07-2020,1544,771,7,,,,,,,,
100,28-07-2020,1614,854,8,,,,,,,,
100,29-07-2020,1697,912,8,,,,,,,,
100,30-07-2020,1731,981,9,,,,,,,,
100,31-07-2020,1863,1047,11,,,,,,,,
100,01/08/2020,1922,1082,13,,,,,,,,
100,02/08/2020,2050,1119,13,,,,,,,,
100,03/08/2020,2156,1157,13,,,,,,,,
100,04/08/2020,2291,1206,14,,,,,,,,
100,05/08/2020,2411,1241,15,,,,,,,,
100,06/08/2020,2484,1387,15,,,,,,,,
100,07/08/2020,2566,1416,16,,,,,,,,
100,08/08/2020,2667,1478,16,,,,,,,,
100,09/08/2020,2721,1616,17,,,,,,,,
100,10/08/2020,2822,1663,18,,,,,,,,
100,11/08/2020,2955,1733,19,,,,,,,,
100,12/08/2020,3076,1784,20,,,,,,,,
100,13-08-2020,3191,1893,20,,,,,,,,
100,14-08-2020,3305,1980,22,,,,,,,,
100,15-08-2020,3411,2104,24,,,,,,,,
100,16-08-2020,3534,2224,26,,,,,,,,
100,17-08-2020,3663,2287,26,,,,,,,,
100,18-08-2020,3855,2351,26,,,,,,,,
100,19-08-2020,4085,2452,29,,,,,,,,
100,20-08-2020,4235,2573,29,,,,,,,,
100,21-08-2020,4400,2662,30,,,,,,,,
100,22-08-2020,4514,2760,32,,,,,,,,
100,23-08-2020,4714,2931,32,,,,,,,,
100,24-08-2020,4879,3073,33,,,,,,,,
100,25-08-2020,5042,3158,33,,,,,,,,
100,26-08-2020,5235,3349,33,,,,,,,,
100,27-08-2020,5375,3439,33,,,,,,,,
100,28-08-2020,5582,3594,33,,,,,,,,
100,29-08-2020,5718,3742,33,,,,,,,,
100,30-08-2020,5949,3924,33,,,,,,,,
100,31-08-2020,6159,4014,33,,,,,,,,
100,01/09/2020,6320,4148,34,,,,,,,,
100,02/09/2020,6456,4267,37,,,,,,,,
100,03/09/2020,6620,4476,38,,,,,,,,
100,04/09/2020,6894,4661,38,,,,,,,,
100,05/09/2020,7080,4789,38,,,,,,,,
100,06/09/2020,7361,4974,38,,,,,,,,
100,07/09/2020,7491,5158,39,,,,,,,,
100,08/09/2020,7809,5362,42,,,,,,,,
100,09/09/2020,8085,5467,43,,,,,,,,
101,15/03/2020,1,0,0,,,,,,,,
101,25/03/2020,2,0,0,,,,,,,,
101,26/03/2020,3,0,0,,,,,,,,
101,30/03/2020,5,0,0,,,,,,,,
101,02/04/2020,10,0,0,,,,,,,,
101,03/04/2020,10,2,0,,,,,,,,
101,28/03/2020,10,3,0,,,,,,,,
101,08/04/2020,10,5,0,,,,,,,,
101,09/04/2020,10,7,0,,,,,,,,
101,11/04/2020,10,9,0,,,,,,,,
101,12/04/2020,10,10,0,,,,,,,,
101,23/04/2020,14,10,0,,,,,,,,
101,26/04/2020,20,10,0,,,,,,,,
101,27/04/2020,24,10,0,,,,,,,,
101,02/05/2020,24,12,0,,,,,,,,
101,04/05/2020,24,22,0,,,,,,,,
101,06/05/2020,24,23,0,,,,,,,,
101,09/05/2020,24,24,0,,,,,,,,
101,14/05/2020,25,24,0,,,,,,,,
101,21/05/2020,26,24,0,,,,,,,,
101,25/05/2020,27,25,0,,,,,,,,
101,28/05/2020,28,25,0,,,,,,,,
101,29/05/2020,29,25,0,,,,,,,,
101,30/05/2020,33,25,0,,,,,,,,
101,01/06/2020,34,25,0,,,,,,,,
101,03/06/2020,43,25,0,,,,,,,,
101,05/06/2020,46,25,0,,,,,,,,
101,06/06/2020,49,26,0,,,,,,,,
101,07/06/2020,50,26,0,,,,,,,,
101,09/06/2020,50,27,0,,,,,,,,
101,10/06/2020,54,27,0,,,,,,,,
101,12/06/2020,55,31,0,,,,,,,,
101,13/06/2020,59,32,0,,,,,,,,
101,14/06/2020,61,34,0,,,,,,,,
101,15/06/2020,63,34,0,,,,,,,,
101,18/06/2020,69,34,0,,,,,,,,
101,19/06/2020,71,34,0,,,,,,,,
101,20/06/2020,72,34,0,,,,,,,,
101,21/06/2020,83,34,0,,,,,,,,
101,22/06/2020,87,36,0,,,,,,,,
101,24/06/2020,93,38,0,,,,,,,,
101,25/06/2020,96,40,0,,,,,,,,
101,26/06/2020,98,45,0,,,,,,,,
101,27/06/2020,100,50,0,,,,,,,,
101,28/06/2020,104,56,0,,,,,,,,
101,29/06/2020,109,56,0,,,,,,,,
101,30/06/2020,109,58,0,,,,,,,,
101,01/07/2020,110,60,0,,,,,,,,
101,02/07/2020,118,73,0,,,,,,,,
101,03/07/2020,120,73,0,,,,,,,,
101,04/07/2020,122,75,0,,,,,,,,
101,05/07/2020,128,75,0,,,,,,,,
101,06/07/2020,134,75,0,,,,,,,,
101,07/07/2020,135,76,0,,,,,,,,
101,08/07/2020,155,76,0,,,,,,,,
101,09/07/2020,175,84,0,,,,,,,,
101,10/07/2020,187,88,0,,,,,,,,
