,Daily-New-Infected,Rescaled-Infected,Cumulative_Dead,Recovered,District,Date
81,21.66972183137568,56.84404351012597,1.215499646828886,926.0701971218801,Chitradurga,2020-05-25
82,23.30647884777136,58.10539402269674,1.2295749052503555,939.8421362278497,Chitradurga,2020-05-26
83,25.051635537516855,59.461192705645544,1.2441744611219827,954.6881730731743,Chitradurga,2020-05-27
84,26.91101224686099,60.91762116543504,1.2593803080650334,970.6842365281653,Chitradurga,2020-05-28
85,28.890657751376466,62.48118836926815,1.2752767192859946,987.9104433236282,Chitradurga,2020-05-29
86,30.996862063785105,64.1587437008827,1.2919505795832558,1006.4513759502023,Chitradurga,2020-05-30
87,33.23615804206997,65.95749010337741,1.30949172016379,1026.3963296841207,Chitradurga,2020-05-31
88,35.61531923689359,67.88499710553971,1.3279932522855613,1047.8395430350054,Chitradurga,2020-06-01
89,38.14135681392417,69.94921368160942,1.3475518980575296,1070.8804198373184,Chitradurga,2020-06-02
90,40.821516419012816,72.15848094138518,1.3682683179808786,1095.6237475840157,Chitradurga,2020-06-03
91,43.66327508085101,74.52154465270235,1.3902474354439038,1122.1799144617862,Chitradurga,2020-06-04
92,46.67433798836237,77.04756758950266,1.4135987586566152,1150.6651262912571,Chitradurga,2020-06-05
93,49.86263492930925,79.74614168716077,1.4384367005879448,1181.2016238377512,Chitradurga,2020-06-06
94,53.23631619746242,82.62729997630619,1.464880897440748,1213.9179005207516,Chitradurga,2020-06-07
95,56.80374781335513,85.70152825799134,1.4930565261196618,1248.9489202850227,Chitradurga,2020-06-08
96,60.573505938332566,88.97977647654754,1.5230946210433831,1286.4363352289652,Chitradurga,2020-06-09
97,64.55437038831292,92.47346974140413,1.555132390541507,1326.5287024734896,Chitradurga,2020-06-10
98,68.755317172599,96.19451894510723,1.5893135329646364,1369.3816996731964,Chitradurga,2020-06-11
99,73.18550999602257,100.15533092143299,1.6257885525287976,1415.1583385072815,Chitradurga,2020-06-12
100,79.84460016781074,104.47653396568032,1.6648259043510387,1464.1611730301606,Chitradurga,2020-06-13
101,85.08640136335794,109.081424162671,1.7069113625882046,1516.6025429017761,Chitradurga,2020-06-14
102,90.67481149935655,113.98876004592508,1.7526164359246192,1572.6984766271926,Chitradurga,2020-06-15
103,96.60135447620951,119.21684142104229,1.8025385418989337,1632.6729755404972,Chitradurga,2020-06-16
104,102.86795524248556,124.78407227215915,1.8572709582959632,1696.7599115520914,Chitradurga,2020-06-17
105,109.48222013712076,130.70926823974082,1.9173896781528776,1765.203883147184,Chitradurga,2020-06-18
106,116.45488071123371,137.01182575758432,1.983449629825552,1838.260650205797,Chitradurga,2020-06-19
107,123.79841449409288,143.71181654544642,2.0559858771065644,1916.1974200745362,Chitradurga,2020-06-20
108,131.52630117157923,150.8300418459264,2.1355172760186343,1999.2930950728664,Chitradurga,2020-06-21
109,139.65261894991363,158.38806481648624,2.222551160877225,2087.8385193039444,Chitradurga,2020-06-22
110,148.1918212474925,166.40823083599605,2.3175882743398484,2182.1367325787432,Chitradurga,2020-06-23
111,157.15860774807467,174.91368083265635,2.4211275294299632,2282.503228248906,Chitradurga,2020-06-24
112,166.5678439070175,183.92836025558486,2.5336704057988326,2389.266208791939,Chitradurga,2020-06-25
113,176.4345045715495,193.47702499512246,2.6557249030446815,2502.766833093199,Chitradurga,2020-06-26
114,186.77362890949098,203.58524486387432,2.787809039527088,2623.3594503650256,Chitradurga,2020-06-27
115,199.55064504087247,214.38495897127584,2.930661930526168,2751.5394514903437,Chitradurga,2020-06-28
116,211.1762671204383,225.8138536796936,3.0854306831524023,2887.71915088648,Chitradurga,2020-06-29
117,223.39951022218247,237.9042723382698,3.253421927942495,3032.3202877017607,Chitradurga,2020-06-30
118,236.21670153357536,250.68835952292156,3.435989085947565,3185.7779953989134,Chitradurga,2020-07-01
119,249.63382046740844,264.1985834163808,3.634476008028148,3348.5424765118373,Chitradurga,2020-07-02
120,263.661964657851,278.4680128071871,3.850192645394847,3521.0796630632003,Chitradurga,2020-07-03
121,278.3148616361268,293.5304594201536,4.084408433785984,3703.87145348654,Chitradurga,2020-07-04
122,293.6075002673224,309.4205461799655,4.33835503464959,3897.4157845066334,Chitradurga,2020-07-05
123,309.5553703916631,326.1737343240378,4.613233614082667,4102.226641326813,Chitradurga,2020-07-06
124,326.1740299929871,343.82632709045936,4.910223931861363,4318.834040372118,Chitradurga,2020-07-07
125,343.47884695789077,362.415459429898,5.230493742507631,4547.783990228214,Chitradurga,2020-07-08
126,361.4848326846386,381.9790787123931,5.575207726779491,4789.638426081144,Chitradurga,2020-07-09
127,380.20652311769663,402.55591899571687,5.945535583672247,5044.975110355895,Chitradurga,2020-07-10
128,399.65788356191115,424.18547014226283,6.3426591445000735,5314.387492556115,Chitradurga,2020-07-11
129,419.8522248241434,446.9079423975065,6.767778496224489,5598.484522448532,Chitradurga,2020-07-12
130,440.80212422244034,470.76422669346834,7.222117165204939,5897.89041190533,Chitradurga,2020-07-13
131,462.51934819087,495.7958507635383,7.706926441287237,6213.244341663058,Chitradurga,2020-07-14
132,485.01477489588973,522.0449310692843,8.223488931183292,6545.200109947948,Chitradurga,2020-07-15
133,508.29831617040156,549.5541205023204,8.773121428569016,6894.425720400719,Chitradurga,2020-07-16
134,532.3788385421612,578.3665518122175,9.357177181542003,7261.602907069843,Chitradurga,2020-07-17
135,557.2640833839814,608.5257767129311,9.977047629064472,7647.426594483582,Chitradurga,2020-07-18
136,582.9605863508185,640.0757006291502,10.634163668450633,8052.604290998363,Chitradurga,2020-07-19
137,609.4735963477377,673.0605130571793,11.329996506733004,8477.855413782212,Chitradurga,2020-07-20
138,636.8069943231241,707.524613530895,12.06605814029282,8923.91054394594,Chitradurga,2020-07-21
139,664.9632122157582,743.512533201105,12.843901499640555,9391.51061049352,Chitradurga,2020-07-22
140,693.9431524125794,781.0688520559489,13.665120289714846,9881.406001934345,Chitradurga,2020-07-23
141,723.7461080969169,820.2381118305301,14.531348550489108,10394.355604587974,Chitradurga,2020-07-24
142,754.3696848885811,861.0647246756979,15.444259957956085,10931.12576681968,Chitradurga,2020-07-25
143,785.8097241967844,903.5928776786766,16.40556688161047,11492.48918867335,Chitradurga,2020-07-26
144,818.0602287249966,947.8664333520039,17.417019211276923,12079.22373661828,Chitradurga,2020-07-27
145,851.1132905835292,993.9288262319124,18.480402963447688,12692.11118339761,Chitradurga,2020-07-28
146,884.9590224809981,1041.8229557527802,19.597538675123246,13331.935873258937,Chitradurga,2020-07-29
147,919.5854924783416,1091.591075590458,20.770279591421065,13999.483313160747,Chitradurga,2020-07-30
148,954.9786628006476,1143.2746796940835,22.00050965187136,14695.538690881542,Chitradurga,2020-07-31
149,991.1223332101289,1196.91438525323,23.29014127930302,15420.885321310841,Chitradurga,2020-08-01
150,1027.9980894494947,1252.549812874802,24.64111297449265,16176.30302257096,Chitradurga,2020-08-02
151,1065.5852572676447,1310.219464271796,26.055386719267393,16962.566424005137,Chitradurga,2020-08-03
152,1103.8608625390334,1369.9605977937115,27.53494519048469,17780.443208468878,Chitradurga,2020-08-04
153,1142.7995979844893,1431.8091021558896,29.081788787232533,18630.69229177605,Chitradurga,2020-08-05
154,1182.3737969923022,1495.7993687520425,30.697932473677174,19514.061942577067,Chitradurga,2020-08-06
155,1222.5534150278872,1561.9641629606713,32.385402440212765,20431.287846381867,Chitradurga,2020-08-07
156,1263.3060191031545,1630.3344948815686,34.146232585919016,21383.091117881777,Chitradurga,2020-08-08
157,1304.5967857571668,1700.939489963025,35.98246082579573,22370.17626617107,Chitradurga,2020-08-09
158,1346.3885079736028,1773.80626000342,37.896125226801146,23393.229117915915,Chitradurga,2020-08-10
159,1388.6416114322635,1848.9597750323394,39.889259977363174,24452.91470396508,Chitradurga,2020-08-11
160,1431.3141804563274,1926.4227365959655,41.96389119574712,25549.875115337753,Chitradurga,2020-08-12
161,1474.3619939787604,2006.2154529889779,44.122032583441026,26684.72733495735,Chitradurga,2020-08-13
162,1517.7385718075384,2088.3557169903297,46.365680930548535,27858.06105192186,Chitradurga,2020-08-14
