"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
13,7,2020-05-29,39,13,0,-8,0,0
13,12,2020-07-04,347,252,3,-50,-52,-2
13,20,2020-07-14,512,281,7,7,16,-6
13,39,2020-08-02,824,639,4,5,18,-3
13,42,2020-08-05,867,685,138,5,26,-137
13,46,2020-08-09,954,773,159,0,0,-158
13,50,2020-08-13,1051,810,233,33,4,-232
13,140,2020-11-11,5575,5580,9,95,-461,0
13,207,2021-01-17,6602,6570,21,-1741,-1871,73
13,210,2021-01-20,4866,4719,94,1743,1855,-73
13,233,2021-02-12,6614,6592,21,0,0,-20
13,264,2021-03-15,6620,6595,21,1,0,-18
13,270,2021-03-21,6623,6597,21,14,1,-18
13,278,2021-03-29,6654,6601,21,1,6,-18
13,282,2021-04-02,6664,6620,21,7,0,-18
13,291,2021-04-11,6729,6643,21,18,5,-18
13,293,2021-04-13,6751,6658,22,40,1,-18
13,296,2021-04-16,6871,6669,22,31,0,-18
13,300,2021-04-20,7094,6723,22,61,3,-18
13,307,2021-04-27,8343,7080,148,195,47,-126
13,313,2021-05-03,10767,8104,33,651,1,-29
13,345,2021-06-04,21556,20995,131,21,0,-91
13,357,2021-06-16,21667,21461,141,3,8,-93
13,359,2021-06-18,21671,21479,141,1,6,-92
13,361,2021-06-20,21673,21495,143,4,3,-94
13,380,2021-07-09,21683,21526,149,0,0,-95
13,388,2021-07-17,21687,21526,153,0,0,-97
