"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
15,11,2020-07-03,339,252,3,-114,-118,4
15,12,2020-07-04,225,134,7,127,123,-4
15,39,2020-08-02,963,776,12,15,24,-3
15,40,2020-08-03,978,800,9,15,-472,152
15,42,2020-08-05,1016,836,163,0,11,-16
15,44,2020-08-07,1057,886,160,27,17,-150
15,47,2020-08-10,1121,942,167,47,53,-157
15,49,2020-08-12,1168,995,161,51,75,-151
15,140,2020-11-11,3573,3581,21,8,-89,0
15,207,2021-01-17,4417,4371,27,-2901,-2899,-1
15,233,2021-02-12,4428,4391,35,0,0,-33
15,264,2021-03-15,4437,4400,35,1,0,-32
15,270,2021-03-21,4442,4402,35,1,1,-32
15,278,2021-03-29,4453,4415,35,0,0,-32
15,282,2021-04-02,4459,4417,35,5,1,-32
15,292,2021-04-12,4559,4463,35,33,6,-32
15,298,2021-04-18,4771,4531,37,32,3,-33
15,307,2021-04-27,5191,4791,189,114,99,-145
15,334,2021-05-24,9837,9213,109,32,74,-80
15,336,2021-05-26,9917,9441,115,64,47,-84
15,370,2021-06-29,10820,10644,149,10,8,-109
15,375,2021-07-04,10870,10690,150,10,11,-121
15,376,2021-07-05,10880,10701,29,10,14,-4
15,377,2021-07-06,10890,10715,25,3,11,-8
15,380,2021-07-09,10900,10734,150,4,4,-109
