"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
9,9,2020-07-01,232,161,6,-121,-86,-2
9,12,2020-07-04,390,249,8,-271,-158,-4
9,38,2020-08-01,285,191,5,-94,115,5
9,39,2020-08-02,191,306,10,129,-115,-5
9,40,2020-08-03,320,191,5,-129,624,0
9,41,2020-08-04,191,815,5,0,-482,127
9,42,2020-08-05,191,333,132,144,-142,-127
9,43,2020-08-06,335,191,5,-144,144,127
9,44,2020-08-07,191,335,132,148,-112,-28
9,45,2020-08-08,339,223,104,6,25,-28
9,46,2020-08-09,345,248,76,3,0,-70
9,48,2020-08-11,364,249,6,-115,118,70
9,49,2020-08-12,249,367,76,121,-118,3
9,50,2020-08-13,370,249,79,5,52,-73
9,140,2020-11-11,3152,3107,61,40,-344,2
9,207,2021-01-17,4859,4699,94,-442,-328,-67
9,233,2021-02-12,4911,4798,94,0,0,-75
9,264,2021-03-15,5034,4874,95,5,5,-92
9,270,2021-03-21,5136,4907,95,46,20,-92
9,278,2021-03-29,5390,5063,98,0,0,-95
9,282,2021-04-02,5571,5172,100,68,58,-97
9,288,2021-04-08,6061,5406,102,180,0,-99
9,292,2021-04-12,6457,5670,107,115,0,-104
9,299,2021-04-19,8139,6350,116,208,0,-100
9,304,2021-04-24,9457,7784,141,289,4,-122
9,309,2021-04-29,12037,8749,173,489,6,-150
9,352,2021-06-11,20975,20133,478,12,0,-394
9,356,2021-06-15,21010,20376,490,2,1,-404
9,358,2021-06-17,21020,20424,495,14,6,-406
9,361,2021-06-20,21103,20451,501,29,2,-411
9,365,2021-06-24,21190,20505,506,4,0,-413
9,368,2021-06-27,21196,20596,510,1,0,-415
9,371,2021-06-30,21197,20608,515,0,1,-417
9,380,2021-07-09,21199,20654,519,0,1,-419
9,388,2021-07-17,21199,20659,520,0,0,-420
