"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
4,8,2020-05-31,367,168,8,228,365,-1
4,11,2020-07-03,4184,3174,87,-4062,-3080,-87
4,19,2020-07-13,5550,4551,101,115,-4084,0
4,38,2020-08-01,8830,7547,134,172,147,-133
4,41,2020-08-04,9341,8286,135,-936,1224,764
4,42,2020-08-05,8405,9510,899,1266,-888,-760
4,44,2020-08-07,9830,8807,795,149,161,-715
4,46,2020-08-09,10129,9155,764,154,104,-622
4,50,2020-08-13,10653,9599,857,129,134,-708
4,88,2020-09-20,17763,15816,205,251,285,-203
4,102,2020-10-04,20397,19233,225,-17959,-17130,-180
4,140,2020-11-11,29739,29806,266,598,-2039,4
4,207,2021-01-17,46041,45339,411,-39347,-38869,-263
4,233,2021-02-12,46370,45886,415,3,9,-352
4,234,2021-02-13,46373,45895,63,3,7,-4
4,235,2021-02-14,46376,45902,59,2,6,-4
4,236,2021-02-15,46378,45908,55,7,8,-1
4,238,2021-02-17,46397,45925,57,9,11,-2
4,239,2021-02-18,46406,45936,55,7,8,-1
4,256,2021-03-07,46592,46077,417,-41828,-41459,-298
4,259,2021-03-10,46658,46099,418,12966,12654,-59
4,260,2021-03-11,59624,58753,359,-12926,-12627,59
4,306,2021-04-26,66839,55747,492,1330,951,-87
4,339,2021-05-29,98729,96707,705,-93832,-92069,-691
4,368,2021-06-27,99707,98905,716,0,7,-539
4,371,2021-06-30,99712,98936,716,2,-89042,-539
4,380,2021-07-09,99729,98985,716,2,5,-539
4,393,2021-07-22,99760,99026,716,-94694,-94099,-590
