"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
11,7,2020-05-29,48,20,1,-30,-15,-1
11,9,2020-07-01,262,533,4,97,-317,4
11,11,2020-07-03,367,244,8,-76,-44,-7
11,38,2020-08-01,1085,714,10,15,26,-10
11,140,2020-11-11,8664,8652,122,73,-362,0
11,207,2021-01-17,11036,10755,152,-7206,-6997,-100
11,233,2021-02-12,11206,11004,153,8,2,-98
11,235,2021-02-14,11222,11012,57,4,7,-3
11,242,2021-02-21,11312,11052,153,9,12,-49
11,306,2021-04-26,24133,19316,220,725,549,-44
11,370,2021-06-29,39884,39281,541,8,2,-500
11,380,2021-07-09,39922,39327,543,3,6,-501
