"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
5,9,2020-07-01,328,293,3,-206,-201,-3
5,12,2020-07-04,5829,4497,99,-5702,-4398,-99
5,39,2020-08-02,345,214,117,10,25,-115
5,103,2020-10-05,20674,19547,226,-18236,-17444,-181
5,140,2020-11-11,3568,3521,75,58,-452,0
5,207,2021-01-17,4707,4570,118,3322,3293,-2
5,210,2021-01-20,8041,7871,116,-3329,-3284,2
5,233,2021-02-12,4726,4603,119,0,0,-115
5,236,2021-02-15,4727,4604,119,0,0,-115
5,237,2021-02-16,4727,4604,4,0,2,-2
5,257,2021-03-08,46615,46083,418,-41850,-41463,-299
5,260,2021-03-11,4765,4623,120,6,6,-85
5,264,2021-03-15,4782,4631,120,3,1,-114
5,270,2021-03-21,4866,4650,121,49,6,-115
5,279,2021-03-30,5091,4744,123,1,45,-116
5,282,2021-04-02,5164,4821,125,53,19,-118
5,287,2021-04-07,5332,4960,128,60,5,-119
5,301,2021-04-21,7149,5427,152,203,8,-128
5,307,2021-04-27,8448,6281,216,264,89,-32
5,340,2021-05-30,98843,97035,707,-81845,-81343,-318
5,357,2021-06-16,17647,17186,434,16,30,-391
5,363,2021-06-22,17738,17282,444,9,-15554,-303
5,365,2021-06-24,17757,17294,446,8,3,-304
5,371,2021-06-30,17791,17337,449,6,8,-305
5,380,2021-07-09,17822,17355,455,2,2,-308
5,394,2021-07-23,99762,99030,716,-81921,-81656,-254
