"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
10,9,2020-07-01,266,181,1,-160,-127,-1
10,12,2020-07-04,137,107,0,-27,-53,0
10,39,2020-08-02,283,204,106,7,15,-106
10,140,2020-11-11,3099,3144,45,15,-196,0
10,210,2021-01-20,4711,4582,118,-866,-814,-66
10,233,2021-02-12,3898,3825,54,3,1,-33
10,264,2021-03-15,4173,4013,56,9,6,-55
10,270,2021-03-21,4286,4105,60,29,16,-59
10,278,2021-03-29,4575,4273,62,21,19,-61
10,282,2021-04-02,4753,4401,66,63,26,-65
10,286,2021-04-06,4891,4531,72,9,2,-71
10,307,2021-04-27,6874,5988,188,137,75,-92
10,332,2021-05-22,10224,9281,230,90,68,-220
10,334,2021-05-24,10381,9458,238,45,78,-228
10,340,2021-05-30,10744,9948,264,36,39,-243
10,358,2021-06-17,11094,10682,308,13,5,-270
10,362,2021-06-21,11142,10721,315,0,2,-274
10,365,2021-06-24,11149,10744,318,3,8,-275
10,367,2021-06-26,11153,10765,320,5,8,-276
10,369,2021-06-28,11159,10791,322,2,1,-278
10,380,2021-07-09,11189,10815,332,3,3,-285
