"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
6,8,2020-05-31,774,284,3,-446,-47,0
6,11,2020-07-03,5699,4426,96,-5435,-4234,-89
6,38,2020-08-01,9166,8124,124,93,129,-122
6,140,2020-11-11,36893,36578,233,692,-5339,3
6,207,2021-01-17,57823,56916,349,-51219,-50345,-328
6,236,2021-02-15,58578,57821,401,24,133,-109
6,237,2021-02-16,58602,57954,292,17,32,-15
6,238,2021-02-17,58619,57986,277,18,38,-20
6,239,2021-02-18,58637,58024,257,22,32,-10
6,240,2021-02-19,58659,58056,247,25,50,-25
6,242,2021-02-21,58714,58123,356,23,26,-124
6,339,2021-05-29,179738,176966,796,-162805,-161511,-410
6,363,2021-06-22,180621,179548,885,8,22,-797
6,375,2021-07-04,180727,179711,906,4,9,-802
6,376,2021-07-05,180731,179720,104,9,13,-6
6,378,2021-07-07,180752,179738,103,5,10,-7
6,379,2021-07-08,180757,179748,96,6,7,-3
6,381,2021-07-10,180765,179760,916,7,4,-824
6,382,2021-07-11,180772,179764,92,4,13,-9
6,384,2021-07-13,180781,179781,84,6,7,-1
6,385,2021-07-14,180787,179788,83,3,10,-7
6,386,2021-07-15,180790,179798,76,5,9,-5
6,393,2021-07-22,180840,179845,918,-162999,-162471,-456
