"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
2,3,2020-05-11,6,3,3,5,3,-3
2,9,2020-07-01,3898,2581,80,-3457,-2396,-77
2,140,2020-11-11,4505,4541,73,174,-519,2
2,210,2021-01-20,10401,10040,147,-4092,-3882,-4
2,233,2021-02-12,6331,6178,145,2,1,-136
2,236,2021-02-15,6335,6180,145,0,1,-136
2,239,2021-02-18,6337,6183,9,2,3,-1
2,264,2021-03-15,6377,6216,145,1,1,-129
2,270,2021-03-21,6387,6226,145,1,5,-129
2,279,2021-03-30,6422,6243,145,10,3,-129
2,282,2021-04-02,6456,6252,147,27,1,-131
2,292,2021-04-12,6771,6350,152,54,5,-134
2,307,2021-04-27,9109,7645,224,453,234,-28
2,340,2021-05-30,29388,28225,474,-7506,-7973,14
2,353,2021-06-12,22193,21409,538,15,7,-254
2,360,2021-06-19,22266,21563,561,12,4,-262
2,362,2021-06-21,22284,21582,567,2,4,-266
2,375,2021-07-04,22353,21663,584,4,16,-491
2,380,2021-07-09,22371,21707,590,1,0,-279
2,388,2021-07-17,22379,21719,598,1,0,-282
2,393,2021-07-22,22388,21724,601,7699,7848,-92
2,394,2021-07-23,30087,29572,509,-7699,-7845,92
