"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
7,9,2020-07-01,441,177,3,-191,4,4
7,11,2020-07-03,253,188,7,75,25,-3
7,12,2020-07-04,328,213,4,-46,-21,3
7,39,2020-08-02,977,684,124,33,13,-114
7,140,2020-11-11,12363,12263,158,285,-1900,6
7,207,2021-01-17,17059,16692,322,-10753,-10539,-179
7,233,2021-02-12,17110,16772,324,3,2,-310
7,234,2021-02-13,17113,16774,14,0,7,-7
7,236,2021-02-15,17114,16781,325,0,1,-318
7,238,2021-02-17,17119,16783,10,0,5,-5
7,264,2021-03-15,17190,16838,330,7,4,-304
7,270,2021-03-21,17251,16854,330,12,8,-304
7,279,2021-03-30,17419,16934,334,18,9,-308
7,306,2021-04-26,26389,20203,395,642,647,-197
7,363,2021-06-22,53857,52663,992,13,2,-785
7,366,2021-06-25,53876,52695,999,10,5,-789
7,368,2021-06-27,53896,52710,1003,4,2,-792
7,380,2021-07-09,53938,52784,1022,2,5,-803
