"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
17,7,2020-05-29,60,36,3,-34,-11,-3
17,12,2020-07-04,656,533,8,-412,-391,-1
17,30,2020-07-24,804,408,11,50,-124,0
17,38,2020-08-01,1146,701,15,0,0,-13
17,140,2020-11-11,8377,8346,107,42,-471,0
17,210,2021-01-20,17059,16715,323,-6370,-6274,-171
17,233,2021-02-12,10785,10592,153,5,5,-113
17,236,2021-02-15,10805,10597,153,16,0,-83
17,239,2021-02-18,10832,10604,74,2,4,-2
17,264,2021-03-15,11060,10813,158,5,5,-133
17,271,2021-03-22,11212,10872,159,24,7,-134
17,306,2021-04-26,17563,13545,198,564,298,-193
17,335,2021-05-25,30424,28421,414,103,-25557,5
17,356,2021-06-15,31064,30276,494,11,8,-391
17,359,2021-06-18,31092,30347,512,3,5,-397
17,361,2021-06-20,31095,30368,521,3,4,-400
17,366,2021-06-25,31107,30407,533,2,3,-407
17,370,2021-06-29,31110,30441,538,1,4,-410
17,380,2021-07-09,31120,30458,550,0,1,-413
17,388,2021-07-17,31125,30466,557,0,0,-416
